H,year,n,extreme_n,obs_diff,diff_ci_lo,diff_boot_median,diff_ci_hi,lift_ci_lo,lift_boot_median,lift_ci_hi
15,2024,14230,1247,0.0605,0.0394,0.0601,0.0841,5.2694,6.1951,7.0873
15,2025,13892,1169,0.1673,0.1311,0.1669,0.2049,2.6396,3.083,3.6677
15,2026,9305,806,0.3251,0.281,0.3252,0.3681,1.8427,2.1088,2.433
30,2024,14230,1247,0.1362,0.1045,0.1361,0.172,4.6056,5.2351,5.9041
30,2025,13892,1169,0.2422,0.199,0.2423,0.2883,2.1397,2.4513,2.8344
30,2026,9305,806,0.3329,0.285,0.3332,0.376,1.5232,1.6842,1.8661
60,2024,14230,1247,0.2413,0.1986,0.2411,0.2833,3.4897,3.8704,4.2616
60,2025,13892,1169,0.293,0.2516,0.2931,0.3333,1.7448,1.949,2.1892
60,2026,9305,806,0.2297,0.1897,0.23,0.269,1.2545,1.3281,1.4106
