year,decision,source_time,p15,p30,p60,r15,r30,r60,consensus
2024,2024-01-03 02:10:00,2024-01-03 02:05:00,0.000103342571472027,0.000382597301117878,0.00228959880313891,0.114583333333333,0.0729166666666667,0.0763888888888889,0.0729166666666667
2024,2024-03-14 14:45:00,2024-03-14 14:40:00,0.0460883972616022,0.159321572008015,0.372416938238765,0.975694444444444,0.982638888888889,0.989583333333333,0.975694444444444
2024,2024-05-28 08:35:00,2024-05-28 08:30:00,0.00462070198644476,0.0127054885301896,0.0495614637257071,0.815972222222222,0.704861111111111,0.704861111111111,0.704861111111111
2024,2024-08-07 12:55:00,2024-08-07 12:50:00,0.00223847444691307,0.0139112067856139,0.0582292923881023,0.434027777777778,0.159722222222222,0.211805555555556,0.159722222222222
2024,2024-10-17 11:25:00,2024-10-17 11:20:00,0.000575201982979872,0.00601142520200256,0.0227148367938634,0.434027777777778,0.357638888888889,0.427083333333333,0.357638888888889
2024,2024-12-31 19:55:00,2024-12-31 19:50:00,0.000214415552451149,0.00379070296754434,0.0183692649198229,0.256944444444444,0.3125,0.409722222222222,0.256944444444444
2025,2025-01-03 09:05:00,2025-01-03 09:00:00,0.00433157817139011,0.0130901090419304,0.0554574826718794,0.777777777777778,0.666666666666667,0.670138888888889,0.666666666666667
2025,2025-03-17 03:15:00,2025-03-17 03:10:00,0.00532096477332684,0.0604006780085791,0.150345508980068,0.677083333333333,0.840277777777778,0.791666666666667,0.677083333333333
2025,2025-05-28 19:40:00,2025-05-28 19:35:00,0.0108016625621209,0.0385352057521502,0.0853761046788612,0.545138888888889,0.458333333333333,0.336805555555556,0.336805555555556
2025,2025-08-07 18:00:00,2025-08-07 17:55:00,0.0354397148776442,0.178661523703621,0.342201479588542,0.878472222222222,0.927083333333333,0.902777777777778,0.878472222222222
2025,2025-10-17 14:35:00,2025-10-17 14:30:00,0.888599818523668,0.982556732538481,0.999761697852018,0.881944444444444,0.850694444444444,0.861111111111111,0.850694444444444
2025,2025-12-31 19:45:00,2025-12-31 19:40:00,0.157399387647977,0.394179382936278,0.773528918950758,0.239583333333333,0.21875,0.211805555555556,0.211805555555556
2026,2026-01-05 09:30:00,2026-01-05 09:25:00,0.122317141574458,0.283375778527775,0.522121516566095,0.361111111111111,0.371527777777778,0.375,0.361111111111111
2026,2026-02-19 16:05:00,2026-02-19 16:00:00,0.329659247153426,0.678028256263146,0.893966660732591,0.826388888888889,0.90625,0.892361111111111,0.826388888888889
2026,2026-04-09 06:15:00,2026-04-09 06:10:00,0.173993617115677,0.388774488393828,0.676207025345622,0.0520833333333333,0.0486111111111111,0.0451388888888889,0.0451388888888889
2026,2026-05-25 18:40:00,2026-05-25 18:35:00,0.0533087974452187,0.127008450776021,0.379366409957878,0.506944444444444,0.385416666666667,0.510416666666667,0.385416666666667
2026,2026-07-10 23:55:00,2026-07-10 23:50:00,0.0311352724436423,0.102474554568276,0.192219063504107,0.357638888888889,0.354166666666667,0.166666666666667,0.166666666666667
2026,2026-08-28 23:50:00,2026-08-28 23:45:00,0.116923468587545,0.229277509087641,0.400108998434199,0.517361111111111,0.399305555555556,0.28125,0.28125
