id,S_H4_ATR,risk_p,risk_S,cp_p,cp_S,A_R,runner_exit,runner_R,C_50_50_R,delta_C_minus_A,MFE_until_runner_exit_R,post_CP_extra_MFE_S,role
P002,34.667807899707185,11.22,0.323643191760468,15.279999999999745,0.440754721042769,1.361853832442045,4618.78,0.8074866310159974,1.0846702317290213,-0.2771836007130237,2.2112299465240186,0.2748947965665934,REJECTION/FAILED ACCEPTANCE
P003,35.60510733544238,6.84,0.1921072708911977,15.659999999999854,0.4398245412508959,2.2894736842105052,4586.91,0.986842105263158,1.6381578947368316,-0.6513157894736736,3.4795321637427166,0.2286188867038614,REJECTION/REACCEPTANCE
P004,35.35117109719651,6.27,0.17736328968454557,12.229999999999563,0.34595742150588754,1.9505582137160389,4615.4,1.5358851674639873,1.743221690590013,-0.2073365231260258,5.740031897926601,0.6721135188045999,ACCEPTANCE then later FAILURE
P005,33.87209509014715,5.28,0.1558805260184767,9.720000000000255,0.28696187744311236,1.840909090909139,4595.1,-1.6439393939392768,0.09848484848493111,-1.742424242424208,3.659090909091026,0.28341913821542297,AMBIGUOUS then ORIGINAL INVALIDATION
P007,74.38674477156488,20.88,0.28069517041134995,29.61999999999989,0.3981892216275937,1.418582375478922,5534.18,-1.0325670498084483,0.19300766283523685,-1.2255747126436851,1.9980842911877517,0.16266338898359373,OPPOSING RESTORATION
