k,f,omit,n,positive_rate,avg_positive,EV,totalR
1.5,0.25,2023,49.0,0.42857142857142855,2.9620880754204175,0.6980377466087504,34.20384958382877
1.5,0.25,2024,50.0,0.4,2.6491881515919973,0.459675260636799,22.98376303183995
1.5,0.25,2025,63.0,0.3968253968253968,2.507504504626749,0.3918668669153765,24.68761261566872
1.5,0.5,2023,45.0,0.4,2.914102754657154,0.5656411018628615,25.45384958382877
1.5,0.5,2024,49.0,0.40816326530612246,2.8366881515919973,0.565995163915101,27.73376303183995
1.5,0.5,2025,62.0,0.41935483870967744,2.584138946756489,0.5030260099301407,31.18761261566872
1.5,0.75,2023,42.0,0.40476190476190477,2.3796382108134573,0.36794879961497073,15.45384958382877
1.5,0.75,2024,48.0,0.4166666666666667,2.4616881515919973,0.44237006316333227,21.23376303183995
1.5,0.75,2025,60.0,0.4166666666666667,2.507504504626749,0.4614602102611453,27.68761261566872
1.5,1.0,2023,42.0,0.40476190476190477,2.3796382108134573,0.36794879961497073,15.45384958382877
1.5,1.0,2024,48.0,0.4375,2.3801791919923785,0.4788283964966656,22.98376303183995
1.5,1.0,2025,60.0,0.43333333333333335,2.43990817752572,0.490626876927812,29.43761261566872
2.0,0.25,2023,31.0,0.5483870967741935,2.8208146814016923,1.0952854704460893,33.95384958382877
2.0,0.25,2024,36.0,0.4722222222222222,2.543162531284703,0.6731600842177764,24.23376303183995
2.0,0.25,2025,41.0,0.4878048780487805,2.384380630783436,0.6509173808699688,26.68761261566872
2.0,0.5,2023,29.0,0.5517241379310345,2.950240598989298,1.1794430890975438,34.20384958382877
2.0,0.5,2024,36.0,0.5,2.8602090573244414,0.9301045286622208,33.48376303183995
2.0,0.5,2025,41.0,0.5365853658536586,2.576709664348578,0.919210063796798,37.68761261566872
2.0,0.75,2023,27.0,0.5555555555555556,2.3469233055885845,0.8594018364381026,23.20384958382877
2.0,0.75,2024,35.0,0.5142857142857142,2.443542390657775,0.77096465805257,26.98376303183995
2.0,0.75,2025,40.0,0.525,2.485124410269939,0.829690315391718,33.18761261566872
2.0,1.0,2023,27.0,0.5555555555555556,2.3469233055885845,0.8594018364381026,23.20384958382877
2.0,1.0,2024,35.0,0.5428571428571428,2.354408580623155,0.82096465805257,28.73376303183995
2.0,1.0,2025,40.0,0.55,2.4062551188940327,0.873440315391718,34.93761261566872
2.5,0.25,2023,22.0,0.5454545454545454,2.433654131985731,0.8729022538103987,19.20384958382877
2.5,0.25,2024,30.0,0.4666666666666667,2.3916973594171393,0.5827921010613316,17.48376303183995
2.5,0.25,2025,32.0,0.5,1.855475788479295,0.4277378942396475,13.68761261566872
2.5,0.5,2023,21.0,0.5714285714285714,2.433654131985731,0.9620880754204176,20.20384958382877
2.5,0.5,2024,31.0,0.5161290322580645,2.655235189489997,0.8865730010270951,27.48376303183995
2.5,0.5,2025,32.0,0.5625,2.1493118119815957,0.7714878942396475,24.68761261566872
2.5,0.75,2023,20.0,0.6,1.8086541319857308,0.6851924791914386,13.70384958382877
2.5,0.75,2024,30.0,0.5333333333333333,2.186485189489997,0.6994587677279983,20.98376303183995
2.5,0.75,2025,32.0,0.5625,2.1493118119815957,0.7714878942396475,24.68761261566872
2.5,1.0,2023,20.0,0.6,1.8086541319857308,0.6851924791914386,13.70384958382877
2.5,1.0,2024,30.0,0.5333333333333333,2.186485189489997,0.6994587677279983,20.98376303183995
2.5,1.0,2025,32.0,0.5625,2.1493118119815957,0.7714878942396475,24.68761261566872
