source_k,year,dir,sweep_time,trigger_time,fraction,broken_m5_level,trigger_close,limit_entry,sl_exec,risk,fill_time,outcome,resolved_at_h,mfe_abs,mae_abs,mfe_r,mae_r,m30_exp,m30_owner,h1_owner,direct_transfer,owner_agree,both_branch,accept_leg_abs,base_R,harvest_R,primary_R,mirror5,branch
2.0,2022,1,2022-01-14 14:59:00,2022-01-14 15:05:00,0.5,1822.2,1823.01,1822.855,1819.54,3.3150000000000546,2022-01-14 15:07:00,SL,2022-01-14 16:34:00,4.764999999999873,3.365000000000009,1.4374057315233164,1.0150829562594128,1.3340006673340128,-1,1,True,False,False,0.8099999999999454,-1.0,-1.0,-1.0,0,EXP_ONLY
2.0,2022,1,2022-01-21 22:17:00,2022-01-21 23:00:00,0.5,1830.06,1831.78,1831.28,1828.37,2.910000000000082,2022-01-21 23:01:00,BE,2022-01-24 17:10:00,13.0,0.8999999999998636,4.467353951889908,0.30927835051540836,1.4342313787638752,-1,-1,True,False,False,1.7200000000000273,0.0,0.75,0.0,0,EXP_ONLY
2.0,2022,-1,2022-01-28 17:11:00,2022-01-28 17:25:00,0.5,1785.92,1784.8,1785.3600000000001,1793.19,7.829999999999927,2022-01-28 17:47:00,SL,2022-01-31 13:54:00,3.290000000000191,8.489999999999782,0.42017879948917264,1.0842911877394459,0.7096991771212702,-1,-1,True,True,False,1.1200000000001182,-1.0,-1.0,-1.0,1,OWNER_ONLY
2.0,2022,-1,2022-01-31 16:39:00,2022-01-31 17:05:00,0.5,1795.07,1794.41,1794.74,1799.8700000000001,5.130000000000109,2022-01-31 17:06:00,SL,2022-01-31 21:02:00,1.4600000000000364,5.349999999999909,0.2846003898635488,1.0428849902533714,1.040866755369708,1,1,True,False,False,0.6599999999998545,-1.0,-1.0,-1.0,0,EXP_ONLY
2.0,2022,-1,2022-02-08 12:31:00,2022-02-08 12:55:00,0.5,1818.87,1818.54,1818.705,1821.2,2.4950000000001182,2022-02-08 12:56:00,SL,2022-02-08 15:35:00,1.2849999999998545,3.5750000000000455,0.5150300601201577,1.432865731462876,1.3422867513611645,-1,1,True,False,False,0.32999999999992724,-1.0,-1.0,-1.0,1,EXP_ONLY
2.0,2022,1,2022-03-17 21:55:00,2022-03-17 22:35:00,0.5,1937.95,1941.31,1939.8600000000001,1935.44,4.420000000000073,2022-03-18 03:02:00,SL,2022-03-18 04:19:00,2.3999999999998636,4.860000000000127,0.5429864253393267,1.099547511312228,1.8064005626868262,1,1,True,True,True,3.3599999999999,-1.0,-1.0,-1.0,1,BOTH
2.0,2022,-1,2022-05-03 13:06:00,2022-05-03 13:35:00,0.5,1857.61,1856.46,1857.0349999999999,1861.1100000000001,4.075000000000273,2022-05-03 13:45:00,SL,2022-05-03 14:33:00,0.5449999999998454,4.175000000000182,0.13374233128829666,1.0245398773005896,2.051955154498219,-1,-1,True,True,True,1.1499999999998636,-1.0,-1.0,-1.0,1,BOTH
2.0,2022,-1,2022-05-10 16:30:00,2022-05-10 16:35:00,0.5,1861.24,1860.55,1860.895,1864.69,3.7950000000000728,2022-05-10 16:36:00,TP5,2022-05-10 18:55:00,19.264999999999873,0.6549999999999727,5.076416337285772,0.17259552042159687,0.896011884356072,-1,-1,True,True,False,0.6900000000000546,5.0,4.5,5.0,0,OWNER_ONLY
2.0,2022,1,2022-05-30 20:59:00,2022-05-31 01:05:00,0.5,1855.7,1856.02,1856.1000000000001,1854.04,2.060000000000173,2022-05-31 01:26:00,SL,2022-05-31 02:00:00,0.06999999999993634,2.150000000000091,0.033980582524238086,1.0436893203883062,0.8602262837249782,1,1,True,True,False,0.31999999999993634,-1.0,-1.0,-1.0,1,OWNER_ONLY
2.0,2022,-1,2022-07-22 10:30:00,2022-07-22 10:35:00,0.5,1716.56,1716.03,1716.295,1720.6000000000001,4.305000000000064,2022-07-22 10:36:00,SL,2022-07-22 12:12:00,1.125,4.365000000000009,0.2613240418118428,1.0139372822299524,2.2176870748299273,1,1,True,False,False,0.5299999999999727,-1.0,-1.0,-1.0,1,EXP_ONLY
2.0,2022,-1,2022-08-16 17:49:00,2022-08-16 18:20:00,0.5,1775.88,1775.65,1775.765,1778.77,3.0049999999998818,2022-08-16 19:25:00,SL,2022-08-17 07:38:00,1.8250000000002728,3.0049999999998818,0.6073211314477021,1.0,0.7800307219662085,-1,-1,True,True,False,0.2300000000000182,-1.0,-1.0,-1.0,0,OWNER_ONLY
2.0,2022,1,2022-10-05 17:03:00,2022-10-05 17:40:00,0.5,1708.08,1708.81,1708.5649999999998,1700.45,8.114999999999782,2022-10-05 17:45:00,SL,2022-10-07 15:46:00,16.935000000000173,10.9849999999999,2.0868761552680994,1.3536660505237457,2.1056474124973126,1,-1,True,False,False,0.7300000000000182,-1.0,-1.0,-1.0,0,EXP_ONLY
2.0,2022,-1,2022-10-31 16:46:00,2022-10-31 17:15:00,0.5,1638.8,1637.79,1638.295,1642.1899999999998,3.8949999999997544,2022-10-31 17:16:00,SL,2022-11-01 07:57:00,7.435000000000173,3.924999999999727,1.9088575096278926,1.0077021822849743,1.0469798657717992,-1,-1,True,True,True,1.009999999999991,-1.0,-1.0,-1.0,0,BOTH
2.0,2022,-1,2022-11-11 23:42:00,2022-11-14 01:05:00,0.5,1766.9,1763.71,1765.305,1772.9399999999998,7.6349999999997635,2022-11-14 03:05:00,SL,2022-11-14 17:14:00,11.915000000000191,9.864999999999782,1.560576293385797,1.2920759659463115,1.1826976229961341,1,1,True,False,False,3.1900000000000546,-1.0,-1.0,-1.0,0,EXP_ONLY
2.0,2022,1,2022-11-24 10:07:00,2022-11-24 10:35:00,0.5,1754.82,1755.75,1755.4049999999997,1752.37,3.0349999999998545,2022-11-24 12:30:00,SL,2022-11-25 02:54:00,3.1950000000001637,3.074999999999818,1.052718286655788,1.0131795716639096,1.4662298387096793,1,1,True,True,True,0.9300000000000637,-1.0,-1.0,-1.0,0,BOTH
2.0,2022,-1,2022-11-24 12:16:00,2022-11-24 12:35:00,0.5,1755.62,1755.14,1755.38,1758.76,3.3799999999998818,2022-11-24 12:36:00,SL,2022-11-25 04:21:00,2.930000000000291,3.480000000000018,0.8668639053255602,1.0295857988166095,1.4662298387096793,1,1,True,False,False,0.4799999999997908,-1.0,-1.0,-1.0,0,EXP_ONLY
2.0,2022,1,2022-11-25 02:54:00,2022-11-25 03:10:00,0.5,1753.54,1754.05,1754.025,1752.33,1.6950000000001637,2022-11-25 03:11:00,BE,2022-11-25 09:18:00,7.054999999999836,0.27500000000009095,4.162241887905106,0.1622418879056427,1.7623181005871904,-1,-1,True,False,False,0.5099999999999909,0.0,0.75,0.0,0,EXP_ONLY
2.0,2022,-1,2022-12-14 03:35:00,2022-12-14 03:45:00,0.5,1810.63,1810.57,1810.6,1812.77,2.1700000000000728,2022-12-14 03:46:00,SL,2022-12-14 08:45:00,2.259999999999991,2.1900000000000546,1.041474654377841,1.0092165898617425,1.3221204649524476,1,1,True,False,False,0.060000000000172804,-1.0,-1.0,-1.0,0,EXP_ONLY
2.0,2022,1,2022-12-21 13:25:00,2022-12-21 14:05:00,0.5,1814.1,1814.75,1814.5449999999998,1811.84,2.7049999999999272,2022-12-21 14:07:00,BE,2022-12-21 21:50:00,9.285000000000082,1.3149999999998272,3.432532347504744,0.48613678373377545,2.728019720624474,1,1,True,True,True,0.650000000000091,0.0,0.75,0.0,0,BOTH
2.0,2022,-1,2022-12-23 15:29:00,2022-12-23 15:35:00,0.5,1796.67,1795.74,1796.205,1800.09,3.884999999999991,2022-12-23 15:36:00,SL,2022-12-23 15:39:00,1.3250000000000455,4.144999999999982,0.34105534105535357,1.0669240669240647,1.5207474580928761,1,1,True,False,False,0.9300000000000637,-1.0,-1.0,-1.0,0,EXP_ONLY
