h_i,h_year,h_trigger,h_fill,h_end,h_outcome,l_i,l_trigger,l_end,l_prior,l_R,linked,overlap_type
34,2025,2025-02-24 10:20:00,2025-02-24 10:29:00,2025-02-24 10:52:00,SL,9,2025-02-24 04:25:00,2025-02-24 15:53:00,2025-02-21 16:30:00,1.5,False,H_L
38,2025,2025-08-26 14:10:00,2025-08-26 14:11:00,2025-08-28 21:53:00,TP5,10,2025-08-27 14:50:00,2025-08-27 16:08:00,2025-08-27 10:50:00,1.5,False,H_L
40,2025,2025-08-27 14:50:00,2025-08-27 15:02:00,2025-08-27 19:19:00,TP5,10,2025-08-27 14:50:00,2025-08-27 16:08:00,2025-08-27 10:50:00,1.5,False,H_L
