k,f,n,positive_rate,avg_positive,EV,totalR
1.5,0.25,81.0,0.4074074074074074,2.695079170171779,0.505402624884799,40.93761261566872
1.5,0.5,78.0,0.41025641025641024,2.7558628942396473,0.5408668284060092,42.18761261566872
1.5,0.75,75.0,0.41333333333333333,2.4576649230860874,0.42916816820891623,32.18761261566872
1.5,1.0,75.0,0.4266666666666667,2.4043003942396473,0.4525015015422496,33.93761261566872
2.0,0.25,54.0,0.5,2.5717634302099524,0.7858817151049763,42.43761261566872
2.0,0.5,53.0,0.5283018867924528,2.77455759341674,0.9941058984088438,52.68761261566872
2.0,0.75,51.0,0.5294117647058824,2.4328745413210635,0.8174041689346808,41.68761261566872
2.0,1.0,51.0,0.5490196078431373,2.3727718791310255,0.8517178944248769,43.43761261566872
2.5,0.25,42.0,0.5,2.199410124555653,0.5997050622778266,25.18761261566872
2.5,0.5,42.0,0.5476190476190477,2.399461418072553,0.8616098241825886,36.18761261566872
2.5,0.75,41.0,0.5609756097560976,2.073374461550814,0.7240881125772858,29.68761261566872
2.5,1.0,41.0,0.5609756097560976,2.073374461550814,0.7240881125772858,29.68761261566872
