policy,blocked_n,n,positive_n,positive_rate,avg_positive,ev,total,max_neg_streak,max_seq_dd
ALL_INDEPENDENT,0,25,6,0.24,1.4583333333333333,-0.41,-10.25,9,11.25
SERIAL_ONE_POSITION,2,23,5,0.21739130434782608,1.6,-0.43478260869565216,-10.0,8,10.25
OPPOSITE_DIRECTION_BLOCK,1,24,6,0.25,1.4583333333333333,-0.3854166666666667,-9.25,8,10.25
