year,h_trigger_time,h_fill_time,h_outcome,h_R,l_trigger_time,l_checkpoint_r,l_res2_hit,l_R,episode_R
2023,2023-06-27 15:50:00,2023-06-27 15:54:00,SL,-1.0,2023-06-27 17:00:00,1.0,1,1.5,0.5
2023,2023-07-11 04:40:00,2023-07-11 04:45:00,SL,-1.0,2023-07-11 13:50:00,1.0,1,1.5,0.5
2023,2023-10-04 03:40:00,2023-10-04 03:52:00,SL,-1.0,2023-10-04 22:15:00,1.0,1,1.5,0.5
2024,2024-11-06 03:30:00,2024-11-06 03:31:00,SL,-1.0,2024-11-06 09:10:00,0.9076991676575393,0,0.45384958382876966,-0.5461504161712303
2025,2025-08-27 10:50:00,2025-08-27 12:52:00,SL,-1.0,2025-08-27 14:50:00,1.0,1,1.5,0.5
