state,N,n2_accuracy,m1_structure_accuracy,label_up_rate,n2_long_rate,N_2024,n2_accuracy_2024,N_2025,n2_accuracy_2025,N_2026,n2_accuracy_2026
DISAGREE,1010,0.5534653465346535,0.44653465346534654,0.5128712871287129,0.4287128712871287,406,0.5541871921182266,357,0.5378151260504201,247,0.5748987854251012
AGREE,832,0.5985576923076923,0.5985576923076923,0.5048076923076923,0.30288461538461536,298,0.6006711409395973,321,0.6012461059190031,213,0.5915492957746479
