quarter,N,n2_accuracy_when_m1_structure_agrees
2024Q1,66,0.5151515151515151
2024Q2,90,0.6666666666666666
2024Q3,77,0.6363636363636364
2024Q4,65,0.5538461538461539
2025Q1,54,0.5555555555555556
2025Q2,85,0.611764705882353
2025Q3,59,0.6101694915254238
2025Q4,123,0.6097560975609756
2026Q1,90,0.5666666666666667
2026Q2,74,0.5945945945945946
2026Q3,49,0.6326530612244898
