state,N,stoch_direction_accuracy,N_2024,acc_2024,N_2025,acc_2025,N_2026,acc_2026
STOCH_TICK_0001,175,0.6514285714285715,71,0.6338028169014085,64,0.6875,40,0.625
STOCH_TICK_0001_PLUS_M1_RECENT_OPP,117,0.6666666666666666,53,0.660377358490566,40,0.7,24,0.625
STOCH_TICK_0001_PLUS_M1_STOCH_SAME,57,0.7192982456140351,21,0.7142857142857143,22,0.7272727272727273,14,0.7142857142857143
STOCH_TICK_0001_PLUS_M1_STOCH_FLIP_TO,40,0.75,13,0.7692307692307693,17,0.7058823529411765,10,0.8
PLACEBO_0001_PLUS_M1_RECENT_OPP,55,0.38181818181818183,17,0.35294117647058826,27,0.4444444444444444,11,0.2727272727272727
PLACEBO_0001_PLUS_M1_STOCH_SAME,104,0.47115384615384615,37,0.40540540540540543,43,0.5116279069767442,24,0.5
