year,N,trusted_accuracy,n2_accuracy_same_population,coverage_of_all_N1
ALL,905,0.6044198895027625,0.5911602209944752,0.4211261051651931
2024,329,0.601823708206687,0.5835866261398176,0.4127979924717691
2025,346,0.6098265895953757,0.5982658959537572,0.4250614250614251
2026,230,0.6,0.591304347826087,0.4275092936802974
