dt,open,high,low,close,block,atr14,ema20,ema50,state_A,state_B,state_C,role_state_majority,role_agree_n,macro_state_majority,macro_agree_n,flow_state,known_at
2025-01-02 08:00:00,2634.08,2639.87,2631.09,2636.02,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-02 12:00:00
2025-01-02 12:00:00,2636.03,2647.22,2632.7,2643.0,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-02 16:00:00
2025-01-02 16:00:00,2642.93,2660.48,2640.36,2656.55,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-02 20:00:00
2025-01-02 20:00:00,2656.58,2660.45,2653.72,2657.96,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-03 00:00:00
2025-01-03 00:00:00,2657.93,2662.55,2656.63,2659.44,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-03 04:00:00
2025-01-03 04:00:00,2659.4,2665.2,2655.85,2658.51,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-03 08:00:00
2025-01-03 08:00:00,2658.55,2660.29,2649.83,2653.59,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-03 12:00:00
2025-01-03 12:00:00,2653.49,2659.29,2643.46,2649.78,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-03 16:00:00
2025-01-03 16:00:00,2649.79,2652.68,2639.08,2641.76,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-03 20:00:00
2025-01-03 20:00:00,2641.8,2642.93,2636.64,2640.23,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-04 00:00:00
2025-01-06 00:00:00,2639.26,2647.35,2638.56,2641.32,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-06 04:00:00
2025-01-06 04:00:00,2641.24,2645.33,2631.48,2633.85,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-06 08:00:00
2025-01-06 08:00:00,2633.86,2635.7,2625.17,2632.66,2025H1,,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-06 12:00:00
2025-01-06 12:00:00,2632.66,2649.37,2621.74,2624.14,2025H1,11.429847348093865,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-06 16:00:00
2025-01-06 16:00:00,2624.08,2641.28,2614.68,2636.66,2025H1,12.5134296803729,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-06 20:00:00
2025-01-06 20:00:00,2636.65,2638.5,2632.88,2635.9,2025H1,12.021041846060543,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-07 00:00:00
2025-01-07 00:00:00,2636.18,2641.15,2632.9,2638.93,2025H1,11.751681714199075,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-07 04:00:00
2025-01-07 04:00:00,2638.9,2645.7,2636.92,2644.42,2025H1,11.53941873461341,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-07 08:00:00
2025-01-07 08:00:00,2644.38,2646.71,2637.99,2641.39,2025H1,11.338031682141041,,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-07 12:00:00
2025-01-07 12:00:00,2641.32,2664.23,2641.27,2662.52,2025H1,12.168172276273827,2642.320163565493,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-07 16:00:00
2025-01-07 16:00:00,2662.6,2662.95,2641.97,2652.47,2025H1,12.79758854225427,2643.286814654494,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-07 20:00:00
2025-01-07 20:00:00,2652.46,2652.6,2646.97,2648.63,2025H1,12.285617932093258,2643.795689449304,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-08 00:00:00
2025-01-08 00:00:00,2647.73,2651.51,2647.15,2648.76,2025H1,11.719502365515178,2644.2684809303228,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-08 04:00:00
2025-01-08 04:00:00,2648.77,2650.7,2645.23,2650.0,2025H1,11.273109339406936,2644.8143398893394,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-08 08:00:00
2025-01-08 08:00:00,2650.01,2655.03,2648.9,2653.52,2025H1,10.905744386592163,2645.6434503760693,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-08 12:00:00
2025-01-08 12:00:00,2653.49,2660.26,2645.78,2660.17,2025H1,11.161048358978439,2647.0269312926343,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-08 16:00:00
2025-01-08 16:00:00,2660.14,2670.02,2649.4,2655.58,2025H1,11.836687761908543,2647.841509264764,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-08 20:00:00
2025-01-08 20:00:00,2655.51,2664.09,2651.52,2661.53,2025H1,11.889067207486516,2649.145175049073,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-09 00:00:00
2025-01-09 00:00:00,2660.66,2663.23,2657.33,2658.57,2025H1,11.461276692666058,2650.0427774253517,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-09 04:00:00
2025-01-09 04:00:00,2658.55,2662.15,2655.45,2658.32,2025H1,11.121185500332787,2650.831084337223,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-09 08:00:00
2025-01-09 08:00:00,2658.32,2666.9,2658.31,2665.0,2025H1,10.940386536023313,2652.180504876535,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-09 12:00:00
2025-01-09 12:00:00,2664.96,2678.29,2664.48,2672.6,2025H1,11.145358926307358,2654.125218697817,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-09 16:00:00
2025-01-09 16:00:00,2672.56,2675.76,2662.72,2665.86,2025H1,11.280690431571148,2655.2428169170726,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-09 20:00:00
2025-01-09 20:00:00,2665.88,2672.56,2664.95,2670.23,2025H1,11.018498257887504,2656.670167686875,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-10 00:00:00
2025-01-10 00:00:00,2670.08,2671.91,2668.34,2670.98,2025H1,10.486462668038376,2658.033008859554,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-10 04:00:00
2025-01-10 04:00:00,2670.84,2675.8,2670.46,2674.89,2025H1,10.118858191749933,2659.6384365872154,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-10 08:00:00
2025-01-10 08:00:00,2674.88,2682.44,2673.45,2678.49,2025H1,10.038225463767812,2661.4338235789096,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-10 12:00:00
2025-01-10 12:00:00,2678.51,2683.63,2663.69,2682.39,2025H1,10.745495073498686,2663.4296499047277,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-10 16:00:00
2025-01-10 16:00:00,2682.39,2697.99,2680.67,2696.01,2025H1,11.21510256824876,2666.532540389992,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-10 20:00:00
2025-01-10 20:00:00,2696.08,2697.22,2684.35,2689.11,2025H1,11.333309527659555,2668.6827746385643,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-11 00:00:00
2025-01-13 00:00:00,2689.89,2693.08,2679.2,2685.44,2025H1,11.515215989969596,2670.278700863463,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-13 04:00:00
2025-01-13 04:00:00,2685.49,2690.81,2683.07,2686.75,2025H1,11.245557704971752,2671.8473960193237,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-13 08:00:00
2025-01-13 08:00:00,2686.79,2691.25,2682.95,2684.77,2025H1,11.035160726045211,2673.0781202079597,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-13 12:00:00
2025-01-13 12:00:00,2684.71,2685.04,2663.74,2669.09,2025H1,11.76836353132771,2672.698299235773,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-13 16:00:00
2025-01-13 16:00:00,2669.11,2674.12,2659.23,2660.83,2025H1,11.991337564804294,2671.567985022842,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-13 20:00:00
2025-01-13 20:00:00,2660.84,2664.12,2656.75,2662.96,2025H1,11.661242024461123,2670.7481769254287,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-14 00:00:00
2025-01-14 00:00:00,2663.22,2672.07,2662.35,2670.68,2025H1,11.522581879856775,2670.7416838849113,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-14 04:00:00
2025-01-14 04:00:00,2670.69,2675.22,2667.29,2668.5,2025H1,11.265968888438422,2670.5281901815865,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-14 08:00:00
2025-01-14 08:00:00,2668.61,2674.38,2664.77,2667.28,2025H1,11.147685396407116,2670.218838735721,,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-14 12:00:00
2025-01-14 12:00:00,2667.26,2674.38,2660.79,2662.95,2025H1,11.322136439520904,2669.526568379938,2660.898669230845,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-14 16:00:00
2025-01-14 16:00:00,2662.91,2673.99,2659.81,2668.99,2025H1,11.526269550983685,2669.475466629468,2661.2159763198315,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-14 20:00:00
2025-01-14 20:00:00,2669.01,2678.17,2666.64,2677.13,2025H1,11.526536011627721,2670.204469807614,2661.8400556798383,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-15 00:00:00
2025-01-15 00:00:00,2678.4,2679.36,2669.82,2669.93,2025H1,11.384640582225739,2670.178329825936,2662.1573083982757,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-15 04:00:00
2025-01-15 04:00:00,2669.97,2679.24,2669.32,2679.2,2025H1,11.280023397781017,2671.0375365091804,2662.825649245402,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-15 08:00:00
2025-01-15 08:00:00,2679.22,2688.48,2679.07,2685.85,2025H1,11.146450297939506,2672.4482473178296,2663.728564961269,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-15 12:00:00
2025-01-15 12:00:00,2685.87,2694.13,2682.1,2693.74,2025H1,11.209560990943842,2674.47603328756,2664.9054839823957,WARMUP,WARMUP,WARMUP,WARMUP,3,WARMUP,3,WARMUP,2025-01-15 16:00:00
2025-01-15 16:00:00,2693.79,2696.03,2676.7,2692.62,2025H1,11.789592348733596,2676.204030117316,2665.992327747792,MIG_UP,MIG_UP,MIG_UP,MIG_UP,3,UP,3,MIG_UP,2025-01-15 20:00:00
2025-01-15 20:00:00,2692.61,2697.41,2691.06,2696.62,2025H1,11.40105003810976,2678.1484082013812,2667.1934129341535,MIG_UP,MIG_UP,MIG_UP,MIG_UP,3,UP,3,MIG_UP,2025-01-16 00:00:00
2025-01-16 00:00:00,2695.23,2702.21,2692.67,2696.14,2025H1,11.268117892530489,2679.8618931345827,2668.3285732112454,MIG_UP,MIG_UP,MIG_UP,MIG_UP,3,UP,3,MIG_UP,2025-01-16 04:00:00
2025-01-16 04:00:00,2696.16,2698.4,2693.78,2694.68,2025H1,10.793252328778305,2681.2731414074797,2669.361962497079,MIG_UP,MIG_UP,MIG_UP,MIG_UP,3,UP,3,MIG_UP,2025-01-16 08:00:00
2025-01-16 08:00:00,2694.71,2706.09,2689.92,2705.34,2025H1,11.177305733865573,2683.565223178196,2670.772865928566,MIG_UP,MIG_UP,MIG_UP,MIG_UP,3,UP,3,MIG_UP,2025-01-16 12:00:00
