month,H1_REALIGN,H4_SIDE_CHANGED,n,h1_realign_rate
2025-01,10,2,12,0.8333333333333334
2025-02,20,4,24,0.8333333333333334
2025-03,21,5,26,0.8076923076923077
2025-04,19,7,26,0.7307692307692307
2025-05,16,11,27,0.5925925925925926
2025-06,25,5,30,0.8333333333333334
2026-01,10,2,12,0.8333333333333334
2026-02,22,7,29,0.7586206896551724
