h1_cycle_id,block,h4_side,start,resolution,hours,path,outcome,h1_bars_to_resolution,month
2025H1-H1C036,2025H1,DOWN,2025-02-26 23:00:00,2025-02-27 04:00:00,5.0,COUNTERFLOW,H1_REALIGN,4,2025-02
2025H1-H1C037,2025H1,DOWN,2025-03-01 00:00:00,2025-03-04 12:00:00,84.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H4_SIDE_CHANGED,19,2025-03
2025H1-H1C038,2025H1,UP,2025-03-05 04:00:00,2025-03-05 08:00:00,4.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,4,2025-03
2025H1-H1C039,2025H1,UP,2025-03-05 16:00:00,2025-03-05 19:00:00,3.0,COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,3,2025-03
2025H1-H1C040,2025H1,UP,2025-03-06 07:00:00,2025-03-06 08:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-03
2025H1-H1C041,2025H1,UP,2025-03-06 10:00:00,2025-03-06 18:00:00,8.0,COUNTERFLOW -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,4,2025-03
2025H1-H1C042,2025H1,UP,2025-03-06 23:00:00,2025-03-07 09:00:00,10.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,9,2025-03
2025H1-H1C043,2025H1,UP,2025-03-07 16:00:00,2025-03-07 17:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-03
2025H1-H1C044,2025H1,UP,2025-03-07 19:00:00,2025-03-10 02:00:00,55.0,LOCAL_BALANCE -> COUNTERFLOW -> COUNTERFLOW,H1_REALIGN,3,2025-03
2025H1-H1C045,2025H1,UP,2025-03-10 04:00:00,2025-03-10 09:00:00,5.0,LOCAL_BALANCE -> COUNTERFLOW,H1_REALIGN,5,2025-03
2025H1-H1C046,2025H1,UP,2025-03-10 10:00:00,2025-03-10 16:00:00,6.0,COUNTERFLOW -> LOCAL_BALANCE,H4_SIDE_CHANGED,6,2025-03
2025H1-H1C047,2025H1,DOWN,2025-03-11 05:00:00,2025-03-11 20:00:00,15.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H4_SIDE_CHANGED,7,2025-03
2025H1-H1C048,2025H1,UP,2025-03-12 09:00:00,2025-03-12 10:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-03
2025H1-H1C049,2025H1,UP,2025-03-14 21:00:00,2025-03-17 01:00:00,52.0,LOCAL_BALANCE -> COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,3,2025-03
2025H1-H1C050,2025H1,UP,2025-03-17 07:00:00,2025-03-17 09:00:00,2.0,COUNTERFLOW -> LOCAL_BALANCE,H1_REALIGN,2,2025-03
2025H1-H1C051,2025H1,UP,2025-03-17 10:00:00,2025-03-17 11:00:00,1.0,LOCAL_BALANCE,H1_REALIGN,1,2025-03
