block,side,start,prior_category,outcome,hours_to_resolution
2025H1,UP,2025-06-06 00:00:00,FROM_NEUTRAL,SAME_MIGRATION,4.0
2025H1,UP,2025-06-06 08:00:00,FROM_MIGRATION,NEUTRALIZED,4.0
2025H1,DOWN,2025-06-09 16:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,DOWN,2025-06-10 00:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,DOWN,2025-06-11 00:00:00,FROM_MIGRATION,NEUTRALIZED,4.0
2025H1,UP,2025-06-18 04:00:00,FROM_NEUTRAL,OPPOSITE_SIDE,4.0
2025H1,DOWN,2025-06-18 08:00:00,FROM_OTHER,SAME_MIGRATION,12.0
2025H1,DOWN,2025-06-20 16:00:00,FROM_MIGRATION,SAME_MIGRATION,56.0
2025H1,DOWN,2025-06-25 08:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,DOWN,2025-06-26 16:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2025H1,DOWN,2025-06-30 12:00:00,FROM_SAME_SIDE_LOCAL,END,
2026JF,UP,2026-01-16 00:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,4.0
2026JF,UP,2026-01-16 08:00:00,FROM_MIGRATION,OPPOSITE_SIDE,8.0
2026JF,UP,2026-01-16 20:00:00,FROM_OTHER,SAME_MIGRATION,52.0
2026JF,UP,2026-01-22 00:00:00,FROM_MIGRATION,SAME_MIGRATION,16.0
2026JF,UP,2026-01-30 00:00:00,FROM_MIGRATION,NEUTRALIZED,4.0
2026JF,DOWN,2026-02-03 00:00:00,FROM_MIGRATION,NEUTRALIZED,24.0
2026JF,DOWN,2026-02-03 12:00:00,FROM_SAME_SIDE_LOCAL,NEUTRALIZED,12.0
2026JF,DOWN,2026-02-05 00:00:00,FROM_NEUTRAL,SAME_MIGRATION,4.0
2026JF,DOWN,2026-02-06 04:00:00,FROM_MIGRATION,NEUTRALIZED,8.0
2026JF,UP,2026-02-10 16:00:00,FROM_MIGRATION,SAME_MIGRATION,8.0
2026JF,UP,2026-02-13 20:00:00,FROM_NEUTRAL,SAME_MIGRATION,52.0
2026JF,UP,2026-02-16 08:00:00,FROM_NEUTRAL,OPPOSITE_SIDE,4.0
2026JF,DOWN,2026-02-16 12:00:00,FROM_OTHER,SAME_MIGRATION,4.0
2026JF,DOWN,2026-02-16 20:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2026JF,DOWN,2026-02-18 04:00:00,FROM_MIGRATION,NEUTRALIZED,8.0
2026JF,UP,2026-02-24 16:00:00,FROM_SAME_SIDE_LOCAL,SAME_MIGRATION,12.0
2026JF,UP,2026-02-26 12:00:00,FROM_MIGRATION,SAME_MIGRATION,8.0
2026JF,UP,2026-02-27 00:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
2026JF,UP,2026-02-27 08:00:00,FROM_MIGRATION,SAME_MIGRATION,4.0
