h4_state_view,h1_state_view,block,cycles,h1_realign_rate,h4_side_change_rate
state_A,state_ema20,2025H1,144,0.7152777777777778,0.2847222222222222
state_A,state_ema20,2026JF,39,0.7692307692307693,0.23076923076923078
state_A,state_net_mid,2025H1,256,0.8359375,0.1640625
state_A,state_net_mid,2026JF,70,0.8857142857142857,0.11428571428571428
state_A,state_ema_stack,2025H1,167,0.7784431137724551,0.2215568862275449
state_A,state_ema_stack,2026JF,47,0.8297872340425532,0.1702127659574468
state_B,state_ema20,2025H1,122,0.7786885245901639,0.22131147540983606
state_B,state_ema20,2026JF,33,0.7878787878787878,0.21212121212121213
state_B,state_net_mid,2025H1,227,0.8634361233480177,0.13656387665198239
state_B,state_net_mid,2026JF,61,0.8688524590163934,0.13114754098360656
state_B,state_ema_stack,2025H1,146,0.8287671232876712,0.17123287671232876
state_B,state_ema_stack,2026JF,40,0.825,0.175
state_C,state_ema20,2025H1,126,0.8333333333333334,0.16666666666666666
state_C,state_ema20,2026JF,39,0.7948717948717948,0.20512820512820512
state_C,state_net_mid,2025H1,238,0.9117647058823529,0.08823529411764706
state_C,state_net_mid,2026JF,67,0.8955223880597015,0.1044776119402985
state_C,state_ema_stack,2025H1,140,0.8571428571428571,0.14285714285714285
state_C,state_ema_stack,2026JF,47,0.851063829787234,0.14893617021276595
