id,tf,side,price,source,known_at
H1_SSL_20240112_0600,H1,DOWN,2032.8,2024-01-12 06:00:00,2024-01-12 09:00:00
H1_BSL_20240112_1600,H1,UP,2062.15,2024-01-12 16:00:00,2024-01-12 19:00:00
H1_SSL_20240112_1900,H1,DOWN,2041.39,2024-01-12 19:00:00,2024-01-12 22:00:00
H1_BSL_20240112_2300,H1,UP,2049.14,2024-01-12 23:00:00,2024-01-15 03:00:00
H4_BSL_20240112_1600,H4,UP,2062.15,2024-01-12 16:00:00,2024-01-15 04:00:00
H1_SSL_20240115_0200,H1,DOWN,2045.76,2024-01-15 02:00:00,2024-01-15 05:00:00
H1_BSL_20240115_0500,H1,UP,2058.05,2024-01-15 05:00:00,2024-01-15 08:00:00
H1_SSL_20240115_0900,H1,DOWN,2052.79,2024-01-15 09:00:00,2024-01-15 12:00:00
H1_BSL_20240115_1000,H1,UP,2058.57,2024-01-15 10:00:00,2024-01-15 13:00:00
H1_SSL_20240115_1400,H1,DOWN,2051.31,2024-01-15 14:00:00,2024-01-15 17:00:00
H1_SSL_20240115_1700,H1,DOWN,2049.2,2024-01-15 17:00:00,2024-01-15 20:00:00
H4_BSL_20240115_0800,H4,UP,2058.57,2024-01-15 08:00:00,2024-01-15 20:00:00
H1_BSL_20240115_1900,H1,UP,2056.32,2024-01-15 19:00:00,2024-01-15 22:00:00
H1_BSL_20240116_0100,H1,UP,2055.49,2024-01-16 01:00:00,2024-01-16 04:00:00
H4_SSL_20240115_1600,H4,DOWN,2049.2,2024-01-15 16:00:00,2024-01-16 04:00:00
H1_BSL_20240116_0900,H1,UP,2050.82,2024-01-16 09:00:00,2024-01-16 12:00:00
H1_BSL_20240116_1500,H1,UP,2044.97,2024-01-16 15:00:00,2024-01-16 18:00:00
H1_SSL_20240116_1500,H1,DOWN,2031.31,2024-01-16 15:00:00,2024-01-16 18:00:00
H1_SSL_20240116_2000,H1,DOWN,2024.22,2024-01-16 20:00:00,2024-01-16 23:00:00
H1_SSL_20240117_0200,H1,DOWN,2025.63,2024-01-17 02:00:00,2024-01-17 05:00:00
H1_BSL_20240117_0400,H1,UP,2032.92,2024-01-17 04:00:00,2024-01-17 07:00:00
H1_SSL_20240117_0800,H1,DOWN,2017.62,2024-01-17 08:00:00,2024-01-17 11:00:00
H4_BSL_20240117_0400,H4,UP,2032.92,2024-01-17 04:00:00,2024-01-17 16:00:00
H1_BSL_20240117_1400,H1,UP,2028.97,2024-01-17 14:00:00,2024-01-17 17:00:00
H1_SSL_20240117_2000,H1,DOWN,2001.78,2024-01-17 20:00:00,2024-01-17 23:00:00
H1_BSL_20240118_0300,H1,UP,2011.98,2024-01-18 03:00:00,2024-01-18 06:00:00
H4_SSL_20240117_2000,H4,DOWN,2001.78,2024-01-17 20:00:00,2024-01-18 08:00:00
H1_SSL_20240118_0700,H1,DOWN,2005.7,2024-01-18 07:00:00,2024-01-18 10:00:00
H1_BSL_20240118_0900,H1,UP,2014.06,2024-01-18 09:00:00,2024-01-18 12:00:00
H1_SSL_20240118_1100,H1,DOWN,2008.12,2024-01-18 11:00:00,2024-01-18 14:00:00
H1_BSL_20240118_1400,H1,UP,2017.21,2024-01-18 14:00:00,2024-01-18 17:00:00
H1_SSL_20240118_1500,H1,DOWN,2007.23,2024-01-18 15:00:00,2024-01-18 18:00:00
H1_BSL_20240119_0300,H1,UP,2025.46,2024-01-19 03:00:00,2024-01-19 06:00:00
H1_SSL_20240119_0700,H1,DOWN,2020.3,2024-01-19 07:00:00,2024-01-19 10:00:00
H1_BSL_20240119_1500,H1,UP,2039.3,2024-01-19 15:00:00,2024-01-19 18:00:00
H1_SSL_20240119_1700,H1,DOWN,2023.08,2024-01-19 17:00:00,2024-01-19 20:00:00
H4_BSL_20240119_1200,H4,UP,2039.3,2024-01-19 12:00:00,2024-01-20 00:00:00
H1_BSL_20240119_2300,H1,UP,2029.95,2024-01-19 23:00:00,2024-01-22 03:00:00
H1_SSL_20240122_0200,H1,DOWN,2025.43,2024-01-22 02:00:00,2024-01-22 05:00:00
H1_BSL_20240122_0300,H1,UP,2032.09,2024-01-22 03:00:00,2024-01-22 06:00:00
H1_SSL_20240122_0900,H1,DOWN,2019.08,2024-01-22 09:00:00,2024-01-22 12:00:00
H1_BSL_20240122_1000,H1,UP,2026.25,2024-01-22 10:00:00,2024-01-22 13:00:00
H1_BSL_20240122_1400,H1,UP,2030.11,2024-01-22 14:00:00,2024-01-22 17:00:00
H1_SSL_20240122_1600,H1,DOWN,2016.41,2024-01-22 16:00:00,2024-01-22 19:00:00
H1_SSL_20240122_2100,H1,DOWN,2019.04,2024-01-22 21:00:00,2024-01-23 00:00:00
H4_BSL_20240122_1200,H4,UP,2030.11,2024-01-22 12:00:00,2024-01-23 00:00:00
H4_SSL_20240122_1600,H4,DOWN,2016.41,2024-01-22 16:00:00,2024-01-23 04:00:00
H1_SSL_20240123_0300,H1,DOWN,2019.53,2024-01-23 03:00:00,2024-01-23 06:00:00
H1_BSL_20240123_0900,H1,UP,2037.81,2024-01-23 09:00:00,2024-01-23 12:00:00
H1_SSL_20240123_1300,H1,DOWN,2022.35,2024-01-23 13:00:00,2024-01-23 16:00:00
H1_BSL_20240123_1500,H1,UP,2030.25,2024-01-23 15:00:00,2024-01-23 18:00:00
H1_SSL_20240123_1600,H1,DOWN,2021.33,2024-01-23 16:00:00,2024-01-23 19:00:00
H4_BSL_20240123_0800,H4,UP,2037.81,2024-01-23 08:00:00,2024-01-23 20:00:00
H1_BSL_20240123_1800,H1,UP,2027.69,2024-01-23 18:00:00,2024-01-23 21:00:00
H1_SSL_20240123_1900,H1,DOWN,2022.59,2024-01-23 19:00:00,2024-01-23 22:00:00
H1_BSL_20240123_2100,H1,UP,2030.63,2024-01-23 21:00:00,2024-01-24 00:00:00
H4_SSL_20240123_1600,H4,DOWN,2021.33,2024-01-23 16:00:00,2024-01-24 04:00:00
H4_BSL_20240123_2000,H4,UP,2030.63,2024-01-23 20:00:00,2024-01-24 08:00:00
H1_SSL_20240124_0700,H1,DOWN,2022.74,2024-01-24 07:00:00,2024-01-24 10:00:00
H4_SSL_20240124_0400,H4,DOWN,2022.74,2024-01-24 04:00:00,2024-01-24 16:00:00
H1_BSL_20240124_1500,H1,UP,2036.58,2024-01-24 15:00:00,2024-01-24 18:00:00
H1_SSL_20240124_1800,H1,DOWN,2011.81,2024-01-24 18:00:00,2024-01-24 21:00:00
H1_BSL_20240124_2000,H1,UP,2019.78,2024-01-24 20:00:00,2024-01-24 23:00:00
H1_SSL_20240124_2100,H1,DOWN,2011.13,2024-01-24 21:00:00,2024-01-25 00:00:00
H4_BSL_20240124_1200,H4,UP,2036.58,2024-01-24 12:00:00,2024-01-25 00:00:00
H1_BSL_20240125_0100,H1,UP,2017.52,2024-01-25 01:00:00,2024-01-25 04:00:00
H4_SSL_20240124_2000,H4,DOWN,2011.13,2024-01-24 20:00:00,2024-01-25 08:00:00
H1_BSL_20240125_0900,H1,UP,2018.28,2024-01-25 09:00:00,2024-01-25 12:00:00
H1_SSL_20240125_1000,H1,DOWN,2012.59,2024-01-25 10:00:00,2024-01-25 13:00:00
H1_SSL_20240125_1500,H1,DOWN,2009.11,2024-01-25 15:00:00,2024-01-25 18:00:00
H1_BSL_20240125_1600,H1,UP,2025.31,2024-01-25 16:00:00,2024-01-25 19:00:00
H1_SSL_20240125_1900,H1,DOWN,2012.43,2024-01-25 19:00:00,2024-01-25 22:00:00
H4_SSL_20240125_1200,H4,DOWN,2009.11,2024-01-25 12:00:00,2024-01-26 00:00:00
H4_BSL_20240125_1600,H4,UP,2025.31,2024-01-25 16:00:00,2024-01-26 04:00:00
H1_BSL_20240126_0300,H1,UP,2024.12,2024-01-26 03:00:00,2024-01-26 06:00:00
H1_BSL_20240126_0700,H1,UP,2023.47,2024-01-26 07:00:00,2024-01-26 10:00:00
H1_SSL_20240126_1100,H1,DOWN,2018.15,2024-01-26 11:00:00,2024-01-26 14:00:00
H1_BSL_20240126_1500,H1,UP,2026.7,2024-01-26 15:00:00,2024-01-26 18:00:00
H1_SSL_20240126_1800,H1,DOWN,2015.9,2024-01-26 18:00:00,2024-01-26 21:00:00
H4_BSL_20240126_1200,H4,UP,2026.7,2024-01-26 12:00:00,2024-01-27 00:00:00
H1_BSL_20240129_0100,H1,UP,2028.45,2024-01-29 01:00:00,2024-01-29 04:00:00
H4_SSL_20240126_1600,H4,DOWN,2015.9,2024-01-26 16:00:00,2024-01-29 04:00:00
H1_BSL_20240129_0900,H1,UP,2033.75,2024-01-29 09:00:00,2024-01-29 12:00:00
H1_SSL_20240129_1300,H1,DOWN,2025.4,2024-01-29 13:00:00,2024-01-29 16:00:00
H1_BSL_20240129_1500,H1,UP,2037.5,2024-01-29 15:00:00,2024-01-29 18:00:00
H1_SSL_20240129_1700,H1,DOWN,2020.5,2024-01-29 17:00:00,2024-01-29 20:00:00
H1_BSL_20240129_1900,H1,UP,2031.09,2024-01-29 19:00:00,2024-01-29 22:00:00
H4_BSL_20240129_1200,H4,UP,2037.5,2024-01-29 12:00:00,2024-01-30 00:00:00
H1_BSL_20240129_2200,H1,UP,2035.22,2024-01-29 22:00:00,2024-01-30 02:00:00
H4_SSL_20240129_1600,H4,DOWN,2020.5,2024-01-29 16:00:00,2024-01-30 04:00:00
H1_BSL_20240130_0200,H1,UP,2034.04,2024-01-30 02:00:00,2024-01-30 05:00:00
