block,entry_ts,direction,entry,sl,sl_dist,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R
2026JF,2026-01-08 07:16:00,DOWN,4423.51,4466.33,42.81999999999971,OPPOSITE_NEAREST,113.52000000000044,76.92000000000007,REPLACE,SL,2026-01-08 22:25:00,4466.33,-1.0
2026JF,2026-01-09 17:21:00,UP,4500.43,4458.24,42.19000000000051,NO_SAME_TARGET,,92.78000000000065,REPLACE,REPLACED,2026-01-12 15:07:00,4601.12,2.3865844986963354
2026JF,2026-01-12 15:07:00,UP,4601.12,4482.09,119.02999999999975,NO_SAME_TARGET,,193.47000000000025,REPLACE,REPLACED,2026-01-13 16:47:00,4630.11,0.2435520457027627
2026JF,2026-01-13 16:47:00,UP,4630.11,4573.76,56.349999999999454,NO_SAME_TARGET,,222.46000000000004,REPLACE,AMBIGUOUS,2026-01-13 22:34:00,,
2026JF,2026-01-14 07:01:00,UP,4634.53,4569.86,64.67000000000007,NO_SAME_TARGET,,226.8800000000001,REPLACE,CHALLENGE_OPENS,2026-01-16 17:27:00,4581.09,-0.826349157259928
2026JF,2026-01-16 17:29:00,DOWN,4569.86,4620.8,50.94000000000051,OPPOSITE_NEAREST,162.21000000000004,54.92000000000007,REPLACE,AMBIGUOUS,2026-01-19 01:00:00,,
2026JF,2026-01-19 01:02:00,UP,4642.89,4536.61,106.28000000000065,NO_SAME_TARGET,,235.2400000000007,REPLACE,REPLACED,2026-01-20 06:35:00,4690.54,0.44834399698907923
2026JF,2026-01-20 06:35:00,UP,4690.54,4659.5,31.039999999999964,NO_SAME_TARGET,,153.9300000000003,REPLACE,REPLACED,2026-01-22 19:22:00,4888.61,6.381121134020617
2026JF,2026-01-22 19:22:00,UP,4888.61,4810.73,77.88000000000011,NO_SAME_TARGET,,132.92000000000007,REPLACE,REPLACED,2026-01-23 18:09:00,4967.39,1.0115562403698066
2026JF,2026-01-23 18:09:00,UP,4967.39,4899.7,67.69000000000051,NO_SAME_TARGET,,211.70000000000073,REPLACE,REPLACED,2026-01-27 22:03:00,5111.22,2.124833801152295
2026JF,2026-01-27 22:03:00,UP,5111.22,5046.83,64.39000000000033,NO_SAME_TARGET,,121.32000000000062,REPLACE,REPLACED,2026-01-28 20:18:00,5311.43,3.1093337474763008
2026JF,2026-01-28 20:18:00,UP,5311.43,5235.83,75.60000000000036,NO_SAME_TARGET,,264.60000000000036,REPLACE,AMBIGUOUS,2026-01-29 17:27:00,,
2026JF,2026-01-30 10:33:00,DOWN,5100.21,5241.13,140.92000000000007,SAME_NEAREST,53.38000000000011,497.77999999999975,REPLACE,REPLACED,2026-01-30 11:13:00,5046.83,0.37879648027249563
2026JF,2026-01-30 11:13:00,DOWN,5046.83,5241.13,194.30000000000018,SAME_NEAREST,56.93000000000029,551.1599999999999,REPLACE,REPLACED,2026-01-30 11:44:00,4989.9,0.29300051466804033
2026JF,2026-01-30 11:44:00,DOWN,4989.9,5241.13,251.23000000000047,SAME_NEAREST,90.19999999999982,608.0900000000001,REPLACE,REPLACED,2026-01-30 19:21:00,4899.7,0.3590335549098422
2026JF,2026-01-30 19:21:00,DOWN,4899.7,5145.69,245.98999999999978,SAME_NEAREST,144.01000000000022,698.29,REPLACE,REPLACED,2026-01-30 20:19:00,4755.69,0.5854303020448
2026JF,2026-01-30 20:19:00,DOWN,4755.69,5145.69,390.0,SAME_NEAREST,96.1899999999996,842.3000000000002,REPLACE,REPLACED,2026-02-02 03:09:00,4659.5,0.2466410256410246
2026JF,2026-02-02 03:09:00,DOWN,4659.5,5145.69,486.1899999999996,SAME_NEAREST,122.89000000000033,938.4899999999998,REPLACE,REPLACED,2026-02-02 07:49:00,4536.61,0.25276126617166217
2026JF,2026-02-02 07:49:00,DOWN,4536.61,5145.69,609.0799999999999,SAME_NEAREST,128.96000000000004,1061.38,REPLACE,REPLACED,2026-02-02 08:38:00,4407.65,0.21172916529848304
2026JF,2026-02-02 08:38:00,DOWN,4407.65,5145.69,738.04,SAME_NEAREST,97.65999999999985,1190.3400000000001,REPLACE,CHALLENGE_OPENS,2026-02-03 02:24:00,4812.46,-0.548493306595849
2026JF,2026-02-04 18:46:00,DOWN,4880.74,5063.46,182.72000000000025,SAME_NEAREST,477.6199999999999,717.25,REPLACE,REPLACED,2026-02-05 04:47:00,4855.2,0.13977670753064758
2026JF,2026-02-05 04:47:00,DOWN,4855.2,5023.86,168.65999999999985,OPPOSITE_NEAREST,452.0799999999999,236.52000000000044,REPLACE,REPLACED,2026-02-05 23:33:00,4789.79,0.3878216530297635
2026JF,2026-02-05 23:33:00,DOWN,4789.79,4906.41,116.61999999999989,OPPOSITE_NEAREST,386.6700000000001,301.9300000000003,REPLACE,SL,2026-02-06 15:00:00,4906.41,-1.0
2026JF,2026-02-11 12:40:00,UP,5078.61,5043.58,35.029999999999745,SAME_NEAREST,7.75,79.64999999999964,REPLACE,REPLACED,2026-02-11 12:44:00,5091.72,0.3742506423066137
2026JF,2026-02-11 12:44:00,UP,5091.72,5043.58,48.14000000000033,OPPOSITE_NEAREST,506.2699999999995,92.76000000000022,REPLACE,SL,2026-02-11 15:30:00,5043.58,-1.0
2026JF,2026-02-12 18:13:00,DOWN,4987.81,5083.77,95.96000000000004,OPPOSITE_NEAREST,332.97000000000025,112.17999999999938,REPLACE,REPLACED,2026-02-17 02:52:00,4965.3,0.2345769070446041
2026JF,2026-02-17 02:52:00,DOWN,4965.3,5017.24,51.9399999999996,SAME_NEAREST,31.48999999999978,86.65999999999985,REPLACE,REPLACED,2026-02-17 02:58:00,4933.81,0.6062764728532928
2026JF,2026-02-17 02:58:00,DOWN,4933.81,5017.24,83.42999999999938,SAME_NEAREST,55.18000000000029,118.14999999999964,REPLACE,REPLACED,2026-02-17 07:31:00,4878.63,0.661392784370139
2026JF,2026-02-17 07:31:00,DOWN,4878.63,5001.0,122.36999999999989,OPPOSITE_NEAREST,223.78999999999996,173.32999999999993,REPLACE,REPLACED,2026-02-17 16:01:00,4859.1,0.15959794067173133
2026JF,2026-02-17 16:01:00,DOWN,4859.1,5001.0,141.89999999999964,OPPOSITE_NEAREST,204.26000000000022,141.89999999999964,REPLACE,AMBIGUOUS,2026-02-18 17:03:00,,
2026JF,2026-02-19 08:45:00,UP,5010.87,4958.75,52.11999999999989,SAME_NEAREST,41.090000000000146,169.10999999999967,REPLACE,REPLACED,2026-02-20 08:23:00,5022.28,0.21891788181120259
2026JF,2026-02-20 08:23:00,UP,5022.28,4981.75,40.529999999999745,SAME_NEAREST,29.68000000000029,58.849999999999454,REPLACE,REPLACED,2026-02-20 16:34:00,5051.96,0.7322970639032933
2026JF,2026-02-20 16:34:00,UP,5051.96,5005.04,46.92000000000007,SAME_NEAREST,31.8100000000004,88.52999999999975,REPLACE,SL,2026-02-20 17:06:00,5005.04,-1.0
2026JF,2026-02-20 22:19:00,UP,5083.77,4989.2,94.57000000000062,SAME_NEAREST,16.219999999999345,120.34000000000015,REPLACE,REPLACED,2026-02-20 23:47:00,5099.99,0.17151316485142476
2026JF,2026-02-20 23:47:00,UP,5099.99,4989.2,110.78999999999996,SAME_NEAREST,19.100000000000364,136.5599999999995,REPLACE,REPLACED,2026-02-23 01:04:00,5119.09,0.17239823088726752
2026JF,2026-02-23 01:04:00,UP,5119.09,4989.2,129.89000000000033,OPPOSITE_NEAREST,478.89999999999964,155.65999999999985,REPLACE,REPLACED,2026-02-23 16:36:00,5176.6,0.442759257833552
2026JF,2026-02-23 16:36:00,UP,5176.6,5122.2,54.400000000000546,OPPOSITE_NEAREST,421.3899999999994,187.40000000000055,REPLACE,SL,2026-02-24 15:59:00,5122.2,-1.0
2026JF,2026-02-25 18:46:00,UP,5210.59,5155.17,55.42000000000007,SAME_NEAREST,39.05000000000018,117.09000000000015,REPLACE,SL,2026-02-25 22:58:00,5155.17,-1.0
2026JF,2026-02-27 15:07:00,UP,5201.02,5168.74,32.280000000000655,SAME_NEAREST,16.55999999999949,70.68000000000029,REPLACE,REPLACED,2026-02-27 15:15:00,5217.58,0.5130111524163307
2026JF,2026-02-27 15:15:00,UP,5217.58,5168.74,48.840000000000146,SAME_NEAREST,32.0600000000004,87.23999999999978,REPLACE,REPLACED,2026-02-27 18:11:00,5249.64,0.6564291564291627
2026JF,2026-02-27 18:11:00,UP,5249.64,5168.74,80.90000000000055,OPPOSITE_NEAREST,348.34999999999945,119.30000000000018,REPLACE,OPEN_CENSORED,,,
