block,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,nearest_bsl,nearest_ssl
2025H1,2025-01-07 14:07:00,UP,2649.37,,ACTIVE,UP,SEED,False,,,,2665.2,2614.68
2025H1,2025-01-08 16:13:00,UP,2664.23,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,0.9699999999997999,19.0,2665.2,2645.23
2025H1,2025-01-08 16:32:00,UP,2665.2,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,19.9699999999998,,2645.23
2025H1,2025-01-09 13:27:00,UP,2670.02,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,24.789999999999964,,2645.23
2025H1,2025-01-10 08:57:00,UP,2678.29,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,33.059999999999945,,2645.23
2025H1,2025-01-13 12:04:00,DOWN,2679.2,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2697.99,2663.69
2025H1,2025-01-13 17:55:00,DOWN,2663.69,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,SAME_NEAREST,18.460000000000036,34.29999999999973,2697.99,2645.23
2025H1,2025-01-14 21:36:00,UP,2675.22,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,2697.99,2656.75
2025H1,2025-01-16 02:23:00,UP,2697.99,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_SAME_TARGET,,38.179999999999836,,2659.81
2025H1,2025-01-20 03:05:00,DOWN,2689.92,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2724.65,2676.7
2025H1,2025-01-21 03:41:00,UP,2713.72,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,3.6200000000003456,24.409999999999854,2717.34,2689.31
2025H1,2025-01-21 03:55:00,UP,2717.34,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,7.309999999999945,28.0300000000002,2724.65,2689.31
2025H1,2025-01-21 04:39:00,UP,2724.65,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,35.340000000000146,,2689.31
2025H1,2025-01-24 04:00:00,UP,2763.36,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,27.570000000000164,,2735.79
2025H1,2025-01-27 18:51:00,DOWN,2735.79,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,2785.92,2716.47
2025H1,2025-01-30 08:58:00,UP,2766.25,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,5.690000000000055,21.590000000000146,2771.94,2744.66
2025H1,2025-01-30 10:12:00,UP,2771.94,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,13.980000000000018,27.2800000000002,2785.92,2744.66
