year,combo,q_prior,signals,delta,recovery,EXACT,EARLY,LATE,FALSE
2025,SAME_PARTICIPATION_LOSS,0.9,15,1144.0099999999993,0.21851225778108846,11,4,0,0
2026,SAME_PARTICIPATION_LOSS,0.7,15,687.4800000000059,0.11587822235107408,4,5,3,3
2025,OPP_PRESSURE_GAIN,0.7,21,1014.3099999999922,0.19373883811324574,5,6,7,3
2026,OPP_PRESSURE_GAIN,0.6,15,774.2200000000015,0.1304986869561994,3,3,6,3
2025,CYCLE_MIN,0.9,8,338.96999999999787,0.0647451508466317,6,2,0,0
2026,CYCLE_MIN,0.5,15,-292.7499999999931,-0.04934448942991192,6,5,3,1
2025,REVERSAL_PRESSURE,0.6,28,2123.6099999999956,0.40562129329856955,15,6,6,1
2026,REVERSAL_PRESSURE,0.7,11,781.8000000000073,0.13177633419745996,5,2,2,2
2025,LTF_DELIVERY,0.95,3,-172.33000000000084,-0.03291598620939955,2,1,0,0
2026,LTF_DELIVERY,0.5,22,-146.96999999999224,-0.024772534966742758,7,5,7,3
2025,POSITION_DAMAGE,0.5,31,-490.3400000000017,-0.09365766075504528,9,12,8,2
2026,POSITION_DAMAGE,0.9,5,1349.8600000000047,0.22752571307211852,3,0,2,0
2025,PHA_NHA,0.95,5,-165.02000000000106,-0.03151973564832079,0,2,2,1
2026,PHA_NHA,0.8,13,227.07000000000275,0.03827379407293082,0,4,8,1
2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN,0.9,10,532.6800000000012,0.10174483568747697,5,2,3,0
2026,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN,0.6,18,1343.3900000000083,0.2264351619308329,6,5,4,3
2025,SAME_PARTICIPATION_LOSS+CYCLE_MIN,0.5,31,1598.4999999999948,0.3053223696148364,17,9,5,0
2026,SAME_PARTICIPATION_LOSS+CYCLE_MIN,0.6,13,104.76000000000978,0.017657826516407092,6,5,1,1
2025,SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE,0.5,29,1348.0099999999986,0.2574773897181711,16,7,5,1
2026,SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE,0.8,5,326.740000000004,0.05507367541017932,2,2,0,1
2025,SAME_PARTICIPATION_LOSS+LTF_DELIVERY,0.975,3,-685.9500000000025,-0.13102025613844134,1,2,0,0
2026,SAME_PARTICIPATION_LOSS+LTF_DELIVERY,0.7,15,23.52000000000737,0.0039644146588963935,3,6,4,2
2025,SAME_PARTICIPATION_LOSS+POSITION_DAMAGE,0.95,7,-171.07999999999493,-0.03267722927350943,5,2,0,0
2026,SAME_PARTICIPATION_LOSS+POSITION_DAMAGE,0.5,21,609.2800000000065,0.10269721783042786,9,7,2,3
2025,SAME_PARTICIPATION_LOSS+PHA_NHA,0.975,3,-125.48999999999711,-0.023969286307766693,1,2,0,0
2026,SAME_PARTICIPATION_LOSS+PHA_NHA,0.95,7,-185.90999999999798,-0.0313360684198635,2,1,4,0
2025,OPP_PRESSURE_GAIN+CYCLE_MIN,0.8,12,1190.1799999999955,0.2273309839650834,5,2,5,0
2026,OPP_PRESSURE_GAIN+CYCLE_MIN,0.5,15,1231.880000000004,0.20763958886053463,7,5,2,1
2025,OPP_PRESSURE_GAIN+REVERSAL_PRESSURE,0.5,27,1624.0399999999968,0.31020065132892055,10,9,7,1
2026,OPP_PRESSURE_GAIN+REVERSAL_PRESSURE,0.6,13,497.1200000000081,0.0837920839808669,4,4,3,2
2025,OPP_PRESSURE_GAIN+LTF_DELIVERY,0.975,4,242.0699999999988,0.046236713176517556,0,1,2,1
2026,OPP_PRESSURE_GAIN+LTF_DELIVERY,0.5,20,917.7600000000049,0.15469307811852182,6,4,6,4
2025,OPP_PRESSURE_GAIN+POSITION_DAMAGE,0.9,8,-124.9600000000001,-0.02386805336695033,2,5,1,0
2026,OPP_PRESSURE_GAIN+POSITION_DAMAGE,0.8,10,1160.4400000000037,0.1955980164442306,4,2,3,1
2025,OPP_PRESSURE_GAIN+PHA_NHA,0.9,7,230.93999999999892,0.04411082141936203,0,2,4,1
2026,OPP_PRESSURE_GAIN+PHA_NHA,0.6,20,60.28000000000377,0.010160498113869671,1,4,12,3
2025,CYCLE_MIN+REVERSAL_PRESSURE,0.975,7,1222.9699999999987,0.2335940559073239,7,0,0,0
2026,CYCLE_MIN+REVERSAL_PRESSURE,0.7,10,156.22000000000827,0.026331669133190194,5,3,1,1
2025,CYCLE_MIN+LTF_DELIVERY,0.9,5,181.28999999999849,0.034627395925851366,4,1,0,0
2026,CYCLE_MIN+LTF_DELIVERY,0.5,15,-583.7799999999927,-0.09839906418238871,5,5,4,1
2025,CYCLE_MIN+POSITION_DAMAGE,0.975,5,266.6399999999999,0.050929719508351706,4,1,0,0
2026,CYCLE_MIN+POSITION_DAMAGE,0.6,12,-109.13999999999129,-0.018396097613596184,6,4,1,1
2025,CYCLE_MIN+PHA_NHA,0.7,19,416.16000000000196,0.07948886915164925,9,6,4,0
2026,CYCLE_MIN+PHA_NHA,0.7,13,618.8700000000061,0.1043136607121797,5,3,4,1
2025,REVERSAL_PRESSURE+LTF_DELIVERY,0.95,5,914.7499999999972,0.1747223256835606,4,0,1,0
2026,REVERSAL_PRESSURE+LTF_DELIVERY,0.6,15,225.13000000000775,0.037946797285590826,4,4,5,2
2025,REVERSAL_PRESSURE+POSITION_DAMAGE,0.95,8,130.01999999999825,0.0248345414434286,5,3,0,0
2026,REVERSAL_PRESSURE+POSITION_DAMAGE,0.6,15,1018.4800000000099,0.17166994225304308,8,3,3,1
2025,REVERSAL_PRESSURE+PHA_NHA,0.975,4,149.10999999999706,0.028480837368324994,0,2,1,1
2026,REVERSAL_PRESSURE+PHA_NHA,0.5,21,613.3200000000099,0.1033781802123135,4,5,10,2
2025,LTF_DELIVERY+POSITION_DAMAGE,0.9,5,-189.98999999999953,-0.03628914419963892,2,3,0,0
2026,LTF_DELIVERY+POSITION_DAMAGE,0.5,21,-454.37999999999147,-0.07658804135666433,6,5,7,3
2025,LTF_DELIVERY+PHA_NHA,0.9,10,-181.39000000000055,-0.03464649648072288,0,4,5,1
2026,LTF_DELIVERY+PHA_NHA,0.6,20,-108.19999999999442,-0.018237655871276924,4,5,9,2
2025,POSITION_DAMAGE+PHA_NHA,0.6,27,172.94999999999914,0.033034409649600166,4,9,13,1
2026,POSITION_DAMAGE+PHA_NHA,0.8,10,816.3300000000042,0.13759653990203638,2,2,6,0
2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN,0.6,25,1844.5499999999934,0.3523192848752244,15,5,5,0
2026,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN,0.6,12,974.5400000000056,0.1642636335748173,6,5,0,1
2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+REVERSAL_PRESSURE,0.975,3,480.3299999999958,0.09174569521244513,2,0,1,0
2026,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+REVERSAL_PRESSURE,0.5,19,1405.5400000000052,0.2369108579788908,7,5,5,2
2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+LTF_DELIVERY,0.975,4,265.7099999999972,0.050752084348049786,1,1,2,0
2026,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+LTF_DELIVERY,0.6,20,1388.0000000000025,0.23395440248922109,6,5,6,3
2025,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+POSITION_DAMAGE,0.975,5,-90.80999999999626,-0.01734521387846246,2,2,1,0
