combo,total_delta,min_year_delta,mean_recovery,EXACT,EARLY,LATE,FALSE,signals,positive_both
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+REVERSAL_PRESSURE+LTF_DELIVERY,3521.010000000001,1351.260000000006,0.32109798972562603,21,11,12,3,47,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+REVERSAL_PRESSURE+PHA_NHA,1834.469999999997,60.730000000003216,0.1745152649275571,16,12,17,3,48,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+REVERSAL_PRESSURE+POSITION_DAMAGE,1510.4700000000043,-150.470000000001,0.1256096057813473,10,7,5,2,24,False
SAME_PARTICIPATION_LOSS+PHA_NHA,-311.3999999999951,-185.90999999999798,-0.027652677363815097,3,3,4,0,10,False
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE,438.2000000000115,-171.07999999999493,0.03500999427845922,14,9,2,3,28,False
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE+PHA_NHA,-68.35999999999758,-99.61999999999617,-0.006879471027625084,7,7,10,2,26,False
SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE,1674.7500000000027,326.740000000004,0.1562755325641752,18,9,5,2,34,True
SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE+LTF_DELIVERY,142.8200000000051,-102.56000000000358,0.010885253935723474,6,7,7,2,22,False
SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE+LTF_DELIVERY+PHA_NHA,1551.2700000000098,-51.75999999999139,0.14873160781010553,20,14,16,3,53,False
SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE+LTF_DELIVERY+POSITION_DAMAGE,1962.7800000000068,261.44000000001097,0.1845162056073006,18,12,8,2,40,True
SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE+PHA_NHA,2270.460000000001,383.0200000000051,0.2125357331017061,17,12,11,3,43,True
SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE+POSITION_DAMAGE,2350.460000000006,226.84999999999906,0.20063739394114574,8,2,1,0,11,True
SAME_PARTICIPATION_LOSS+REVERSAL_PRESSURE+POSITION_DAMAGE+PHA_NHA,938.5800000000074,-80.73000000000133,0.07819498249647786,6,7,5,0,18,False
