rule,signals,PnL,PF,DD,delta_vs_BASE,oracle_recovery,EXACT,EARLY,LATE,MISS,FALSE_NO_ORACLE,exact_recall_157
NHA_range/PHA_range >= 0.2,151,5282.290000000001,1.4943335379685712,2113.7099999999973,-1928.0199999999995,-0.15280523083019606,70,54,10,23,17,0.445859872611465
NHA_range/PHA_range >= 0.25,135,6196.6700000000055,1.5859197785167702,2183.5599999999977,-1013.6399999999949,-0.08033604121260111,62,47,13,35,13,0.39490445859872614
NHA_range/PHA_range >= 0.3,126,7689.8600000000115,1.7400792447782092,2163.0699999999997,479.5500000000111,0.03800673667525349,63,38,15,41,10,0.4012738853503185
NHA_range/PHA_range >= 0.35,123,7778.070000000004,1.7273996584675186,2097.380000000003,567.7600000000039,0.04499782048741856,51,36,27,43,9,0.3248407643312102
NHA_range/PHA_range >= 0.4,109,6565.96,1.5916990408938079,2217.680000000001,-644.3500000000004,-0.05106796116504856,39,31,33,54,6,0.2484076433121019
NHA_range/PHA_range >= 0.5,86,6968.9,1.6097169399452131,1834.3799999999992,-241.41000000000076,-0.01913295026748569,22,21,40,74,3,0.14012738853503184
NHA_range/PHA_range >= 0.6,62,6268.610000000002,1.5239849406603847,2174.499999999998,-941.699999999998,-0.07463443629879118,11,14,34,98,3,0.07006369426751592
NHA_range/PHA_range >= 0.75,36,6609.280000000002,1.5342762193697443,2318.569999999998,-601.0299999999988,-0.04763463443629869,7,7,20,123,2,0.044585987261146494
NHA_range/PHA_range >= 1,15,7216.129999999996,1.5782178614497653,1588.5099999999993,5.8199999999951615,0.0004612641172970208,5,3,6,143,1,0.03184713375796178
NHA_close_penetration >= 0.2,153,5551.949999999999,1.5345393311651176,1903.4700000000012,-1658.3600000000015,-0.13143332672874983,81,52,3,21,17,0.5159235668789809
NHA_close_penetration >= 0.3,137,5726.530000000004,1.5441462654458247,2014.8600000000015,-1483.779999999996,-0.11759698830988671,68,45,13,31,11,0.43312101910828027
NHA_close_penetration >= 0.4,123,7233.680000000004,1.6603531411523924,2002.500000000001,23.37000000000353,0.0018521894194573824,49,38,30,40,6,0.31210191082802546
NHA_close_penetration >= 0.5,106,7419.369999999995,1.6652204514379212,2177.0200000000023,209.05999999999494,0.016569050921339003,34,32,37,54,3,0.21656050955414013
NHA_close_penetration >= 0.6,75,7159.619999999999,1.6159247361964462,1926.9000000000015,-50.69000000000142,-0.004017436100653965,20,19,34,84,2,0.12738853503184713
NHA_close_penetration >= 0.75,46,7499.690000000004,1.6189369524760568,1670.6600000000008,289.38000000000375,0.022934812760055767,7,7,31,112,1,0.044585987261146494
NHA_close_penetration >= 1,15,7399.999999999999,1.5883470707073923,1647.4899999999989,189.6899999999987,0.015033881513770449,0,3,12,142,0,0.0
