variant,PnL,PF,DD,delta,recovery,EXACT,EARLY,LATE,FALSE
DD+CLOSE_PEN,7669.910000000013,1.9014144263258432,1484.789999999999,2361.9600000000128,0.21148919748250272,30,12,9,2
DD+BODY_SUM,7602.510000000005,1.8271671696938978,1628.3099999999977,2294.560000000005,0.20545422148361947,17,3,1,1
DD+CLOSE+BODY,6309.050000000002,1.6958792451165308,1852.9099999999999,1001.1000000000022,0.0896381969210879,24,14,1,1
DD+CLOSE+BODY+RANGE,4676.110000000005,1.5142464695874804,2519.0799999999986,-631.8399999999947,-0.05657476609990968,24,17,2,4
