year,BASE,CAND,ORACLE,delta,recovery,PF,DD,EXACT,OracleN,EARLY,LATE,MISS,FALSE
2025,2848.1600000000003,4902.919999999995,8083.61,2054.7599999999943,0.3924705612698039,2.6059982704855718,607.9699999999996,15,58,5,3,35,0
2026,2459.7899999999995,4626.030000000003,8392.570000000005,2166.240000000004,0.3651306807264051,1.8280522818724676,1529.499999999999,8,41,3,2,28,1
