year,combo,q_prior,signals,delta,recovery,PnL,PF,DD,EXACT,EARLY,LATE,MISS,FALSE
2025,LIQ_CHILD,0.5,48,257.94000000000096,0.049267971234564556,3106.1000000000013,1.950869255094763,949.7599999999992,22,15,10,11,1
2026,LIQ_CHILD,0.5,31,-472.3599999999974,-0.07961866106614385,1987.430000000002,1.340388544729915,2161.169999999999,16,9,4,12,2
2025,OLD_BEST3,0.5,45,386.41999999999507,0.07380836413297713,3234.5799999999954,1.9694065322807814,1135.4700000000014,21,17,5,15,2
2026,OLD_BEST3,0.5,30,-130.09000000000196,-0.021927325806789032,2329.6999999999975,1.398503622915711,2308.900000000002,13,10,5,13,2
2025,LOCATION,0.5,46,-545.2300000000027,-0.1041419553238027,2302.9299999999976,1.6760240475785086,1114.1800000000019,22,15,6,15,3
2026,LOCATION,0.7,20,1141.8000000000043,0.1924561504050383,3601.590000000004,1.5999540238309822,2172.1800000000003,8,4,7,22,1
2025,DELIVERY,0.95,7,-226.4500000000021,-0.0432532065056494,2621.709999999998,1.6986680666446359,1066.5300000000007,5,2,0,51,0
2026,DELIVERY,0.7,26,-511.1099999999915,-0.08615016906070863,1948.680000000008,1.3286570577580206,2807.2199999999953,13,6,4,18,3
2025,POSITION_DAMAGE,0.5,44,-189.38000000000284,-0.03617263081492572,2658.7799999999975,1.8474334252338669,1061.300000000002,22,19,1,16,2
2026,POSITION_DAMAGE,0.5,37,-639.0499999999943,-0.10771510152070254,1820.7400000000052,1.3245566343965087,2135.2499999999977,20,12,0,9,5
2025,PHA_NHA,0.5,48,298.00999999999704,0.056921563571421196,3146.1699999999973,1.9503810683204283,1072.3000000000009,24,14,9,11,1
2026,PHA_NHA,0.6,34,602.8899999999999,0.10162015109274224,3062.6799999999994,1.542671398778463,1451.9400000000007,13,8,10,10,3
2025,LIQ_CHILD+OLD_BEST3,0.5,48,-169.82000000000244,-0.03243656228213477,2678.339999999998,1.797511888207671,1059.0600000000009,25,13,8,12,2
2026,LIQ_CHILD+OLD_BEST3,0.6,29,-167.80999999999722,-0.028285222104982327,2291.9800000000023,1.3946362066382803,2178.8600000000015,11,8,8,14,2
2025,LIQ_CHILD+LOCATION,0.5,47,-220.12000000000398,-0.04204414138230793,2628.0399999999963,1.7818080672558878,1056.7000000000014,23,15,7,13,2
2026,LIQ_CHILD+LOCATION,0.95,4,-441.9799999999998,-0.07449795879840468,2017.8099999999997,1.3024631029220866,2142.599999999999,0,1,3,37,0
2025,LIQ_CHILD+DELIVERY,0.7,30,-26.589999999997417,-0.005078837540230052,2821.570000000003,1.8168283009582267,1187.3700000000001,14,8,7,29,1
2026,LIQ_CHILD+DELIVERY,0.7,23,-15.859999999991487,-0.0026732830140324556,2443.930000000008,1.4176066217493177,2207.709999999999,10,5,6,20,2
2025,LIQ_CHILD+POSITION_DAMAGE,0.5,41,-681.8000000000025,-0.13022758311128987,2166.359999999998,1.6386015593909813,1105.3700000000013,19,16,5,18,1
2026,LIQ_CHILD+POSITION_DAMAGE,0.95,5,287.16000000000304,0.04840226672824591,2746.9500000000025,1.4230333289186354,2096.429999999996,1,2,2,36,0
2025,LIQ_CHILD+PHA_NHA,0.6,44,448.85999999999603,0.08573475059450403,3297.0199999999963,1.9820012211648708,1109.350000000001,20,12,11,15,1
2026,LIQ_CHILD+PHA_NHA,0.6,31,362.549999999997,0.06110963157238202,2822.3399999999965,1.4824784987871105,1568.1200000000017,9,8,11,13,3
2025,OLD_BEST3+LOCATION,0.7,30,782.8899999999999,0.1495363340305036,3631.05,2.088506239863782,992.2199999999993,17,7,4,30,2
2026,OLD_BEST3+LOCATION,0.8,18,458.28000000000566,0.07724540603224883,2918.070000000005,1.4738295813252635,2283.4399999999987,7,4,6,24,1
2025,OLD_BEST3+DELIVERY,0.6,35,585.4600000000014,0.11182610854845362,3433.6200000000017,2.1019213550575575,1060.5299999999995,18,11,5,24,1
2026,OLD_BEST3+DELIVERY,0.5,33,-1097.0599999999974,-0.18491499769079525,1362.730000000002,1.2399899265270473,2474.3700000000003,16,8,5,12,4
2025,OLD_BEST3+POSITION_DAMAGE,0.5,41,-95.55000000000337,-0.018250580179354856,2752.609999999997,1.8480032285989771,1139.5200000000023,20,16,3,19,2
2026,OLD_BEST3+POSITION_DAMAGE,0.5,36,-65.70999999999958,-0.01107575200833328,2394.08,1.4289858604247787,1969.9700000000005,19,11,2,9,4
2025,OLD_BEST3+PHA_NHA,0.6,43,300.8399999999956,0.05746210927427359,3148.999999999996,1.9289469181618097,1171.1400000000017,21,13,8,16,1
2026,OLD_BEST3+PHA_NHA,0.6,32,-393.09000000000333,-0.06625730264732603,2066.699999999996,1.341275004871346,2208.9100000000035,13,10,7,11,2
2025,LOCATION+DELIVERY,0.5,46,775.8000000000002,0.14818210469014131,3623.9600000000005,2.280872586408605,807.1199999999989,22,14,7,15,3
2026,LOCATION+DELIVERY,0.5,32,-293.26999999999407,-0.04943213805332303,2166.5200000000054,1.3760444618786614,2665.7799999999975,16,6,6,13,4
2025,LOCATION+POSITION_DAMAGE,0.5,41,-262.0100000000025,-0.05004536381781939,2586.149999999998,1.7652123740624017,1116.7400000000027,20,15,3,20,3
2026,LOCATION+POSITION_DAMAGE,0.8,14,805.5800000000086,0.1357845731680608,3265.370000000008,1.541917057084868,2293.199999999998,6,4,4,27,0
2025,LOCATION+PHA_NHA,0.5,48,-508.9500000000021,-0.0972122740165606,2339.209999999998,1.6836437071847739,1081.7100000000007,21,15,10,12,2
2026,LOCATION+PHA_NHA,0.8,17,585.4399999999973,0.09867886555712443,3045.229999999997,1.4898821636838928,2178.8199999999997,5,3,8,25,1
2025,DELIVERY+POSITION_DAMAGE,0.6,37,871.6700000000028,0.16649380664508362,3719.830000000003,2.249938676281331,825.31,20,12,2,24,3
2026,DELIVERY+POSITION_DAMAGE,0.6,26,270.9000000000083,0.04566156169620448,2730.690000000008,1.474594741150525,2650.7799999999966,12,7,4,18,3
2025,DELIVERY+PHA_NHA,0.6,41,566.6699999999987,0.10823711428816984,3414.829999999999,2.0607961181937915,1112.4699999999996,21,11,8,18,1
2026,DELIVERY+PHA_NHA,0.6,28,196.72000000000662,0.03315814845654253,2656.510000000006,1.4540002802776815,1994.7,12,6,8,15,2
