combo,total_delta,min_year_delta,mean_recovery,EXACT,EARLY,LATE,FALSE,signals,positive_both
OLD_BEST3+LOCATION+DELIVERY+PHA_NHA,-435.67000000000235,-741.0600000000009,-0.03328910857119557,29,20,14,3,66,False
OLD_BEST3+LOCATION+DELIVERY+POSITION_DAMAGE,127.47000000000708,-166.85999999999285,0.01404678416997649,29,20,11,4,64,False
OLD_BEST3+LOCATION+PHA_NHA,978.77,234.63999999999805,0.08512220380055464,23,14,15,3,55,True
OLD_BEST3+LOCATION+POSITION_DAMAGE,1012.4500000000057,212.9999999999991,0.08771775630878237,26,20,9,3,58,True
OLD_BEST3+LOCATION+POSITION_DAMAGE+PHA_NHA,306.89000000000124,-244.95000000000255,0.02311430344380583,32,23,15,3,73,False
OLD_BEST3+PHA_NHA,-92.25000000000773,-393.09000000000333,-0.004397596686526221,34,23,15,3,75,False
OLD_BEST3+POSITION_DAMAGE,-161.26000000000295,-95.55000000000337,-0.014663166093844068,39,27,5,6,77,False
OLD_BEST3+POSITION_DAMAGE+PHA_NHA,-605.5100000000018,-480.0500000000004,-0.05243920275183121,32,25,16,3,76,False
PHA_NHA,900.8999999999969,298.00999999999704,0.07927085733208172,37,22,19,4,82,True
POSITION_DAMAGE,-828.4299999999971,-639.0499999999943,-0.07194386616781413,42,31,1,7,81,False
POSITION_DAMAGE+PHA_NHA,856.3200000000033,-295.54000000000315,0.06885101714592237,27,24,15,3,69,False
