nha_bars_seen,test_year,feature_set,q_prior,signals,PnL,delta,recovery,PF,DD,EXACT,EARLY,LATE,MISS,FALSE_NO_ORACLE
2,2025,DAMAGE_PHA_DELIVERY,0.5,28,3672.2599999999966,824.0999999999963,0.15740767269289105,2.132187044282274,835.329999999999,0,6,21,31,1
2,2025,DELIVERY,0.95,8,2934.8699999999994,86.70999999999913,0.016562091128747125,1.7996245548741119,1076.5300000000004,0,1,6,51,1
2,2025,PHA_NHA,0.5,26,2594.359999999996,-253.80000000000427,-0.04847720826290086,1.7284233815605854,1266.320000000001,0,6,19,33,1
2,2026,DAMAGE_PHA_DELIVERY,0.6,17,4072.5099999999998,1612.7200000000003,0.27183209220635157,1.737693366663044,1745.719999999997,0,2,14,25,1
2,2026,DELIVERY,0.7,8,3489.369999999999,1029.5799999999995,0.173540903252775,1.5608278606581356,1319.0599999999972,0,1,7,33,0
2,2026,PHA_NHA,0.7,14,2946.7500000000027,486.9600000000032,0.0820795647234522,1.497398018003725,1753.3099999999965,0,2,11,28,1
4,2025,DAMAGE_PHA_DELIVERY,0.7,2,2848.1600000000003,0.0,0.0,1.768153622093964,1084.9500000000003,0,0,1,57,1
4,2025,DELIVERY,0.8,0,2848.1600000000003,0.0,0.0,1.768153622093964,1084.9500000000003,0,0,0,58,0
4,2025,PHA_NHA,0.5,6,3104.95,256.7899999999995,0.04904831485354641,1.8464436526608201,1076.9200000000005,0,1,4,53,1
4,2026,DAMAGE_PHA_DELIVERY,0.5,10,2777.059999999998,317.2699999999986,0.05347745913382904,1.4444753879272394,1579.4299999999992,0,1,9,31,0
4,2026,DELIVERY,0.5,12,2813.04,353.25000000000045,0.05954206965368682,1.4528418521016682,1543.449999999998,0,1,11,29,0
4,2026,PHA_NHA,0.6,8,2977.4599999999987,517.6699999999992,0.08725589015604802,1.4694139774520607,1610.4799999999989,0,2,5,34,1
