year,combo,combo_size,prior_best_delta,q_prior,threshold,signals,delta,recovery,EXACT,EARLY,LATE,FALSE
2025,DELIVERY,1,265.1599999999995,0.9,0.8106060606060606,9,297.71999999999514,0.05686617196229459,3,3,2,1
2026,RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,3,2141.0199999999986,0.5,0.493037037037037,19,459.1700000000095,0.07739542002231821,6,5,6,2
