route_id,direction,entry_year,ha_idx,ha_ts,label,decision_ts,decision_px,challenge_ts,open_count,losing_count,losing_frac,total_raw_loss,total_loss_entry_atr,mean_loss_entry_atr_per_open,max_loss_entry_atr,total_loss_current_atr,net_unreal_current_atr,worst_unreal_current_atr
14,DOWN,2024,3281,2024-02-15 01:00:05,EXACT,2024-02-15 01:00:05,1993.05,2024-02-15 11:48:14,2,0,0.0,0.0,0.0,0.0,0.0,0.0,3.837221782332906,0.0
15,UP,2024,3297,2024-02-19 16:00:00,NO_ORACLE,2024-02-19 16:00:00,2016.78,2024-02-21 19:11:18,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8778204783299811,0.0
15,UP,2024,3300,2024-02-20 04:00:00,NO_ORACLE,2024-02-20 04:00:00,2016.9,2024-02-21 19:11:18,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9005030818665631,0.0
15,UP,2024,3306,2024-02-21 04:00:00,NO_ORACLE,2024-02-21 04:00:00,2025.35,2024-02-21 19:11:18,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2.214473500934486,0.0
18,UP,2024,3327,2024-02-26 16:00:00,EARLY,2024-02-26 16:00:00,2032.55,2024-02-28 08:52:53,2,2,1.0,11.160000000000082,1.374739122310185,0.6873695611550925,0.7735987175723891,1.392385128935045,-1.392385128935045,0.783528549257346
18,UP,2024,3334,2024-02-27 20:00:00,EXACT,2024-02-27 20:00:00,2032.28,2024-02-28 08:52:53,3,3,1.0,16.90000000000009,2.0912372714084206,0.6970790904694736,0.8068585350476329,2.136423680663829,-2.136423680663829,0.8280221957602313
20,UP,2024,3366,2024-03-06 04:00:00,NO_ORACLE,2024-03-06 04:00:00,2125.46,2024-03-12 07:44:14,9,0,0.0,0.0,0.0,0.0,0.0,0.0,67.43922707835414,0.0
20,UP,2024,3379,2024-03-08 08:00:00,NO_ORACLE,2024-03-08 08:00:00,2157.71,2024-03-12 07:44:14,10,0,0.0,0.0,0.0,0.0,0.0,0.0,103.30870210429968,0.0
21,DOWN,2024,3399,2024-03-13 16:00:00,EARLY,2024-03-13 16:00:00,2166.26,2024-03-20 16:01:56,1,1,1.0,12.350000000000364,1.4199115138968323,1.4199115138968323,1.4199115138968323,1.4286342419006959,-1.4286342419006959,1.4286342419006959
21,DOWN,2024,3409,2024-03-15 08:00:00,EARLY,2024-03-15 08:00:00,2169.35,2024-03-20 16:01:56,1,1,1.0,15.440000000000055,1.7751768238515404,1.7751768238515404,1.7751768238515404,1.7962687602779646,-1.7962687602779646,1.7962687602779646
21,DOWN,2024,3417,2024-03-18 16:00:00,EXACT,2024-03-18 16:00:00,2156.88,2024-03-20 16:01:56,3,3,1.0,18.370000000000346,2.1199077205340644,0.7066359068446881,1.0443218306131736,2.1316404746404887,-2.1316404746404887,1.048994550394642
21,DOWN,2024,3425,2024-03-20 00:00:05,LATE,2024-03-20 00:00:05,2157.97,2024-03-20 16:01:56,3,3,1.0,21.639999999999418,2.496962881072058,0.8323209603573526,1.1702411663839745,2.5422549717039056,-2.5422549717039056,1.190066675756025
22,UP,2024,3436,2024-03-21 20:00:00,EXACT,2024-03-21 20:00:00,2181.06,2024-03-22 09:18:05,4,0,0.0,0.0,0.0,0.0,0.0,0.0,4.928478003411507,0.0
23,UP,2024,3449,2024-03-26 00:00:05,EARLY,2024-03-26 00:00:05,2171.54,2024-04-10 15:30:14,1,1,1.0,9.5300000000002,1.0505725322105732,1.0505725322105732,1.0505725322105732,1.0562056337394448,-1.0562056337394448,1.0562056337394448
23,UP,2024,3454,2024-03-26 20:00:00,EARLY,2024-03-26 20:00:00,2176.72,2024-04-10 15:30:14,2,2,1.0,9.170000000000528,1.0142642843040064,0.5071321421520032,0.5347269794649423,0.9992223636484268,-0.9992223636484268,0.5252182980136645
23,UP,2024,3472,2024-04-01 20:00:00,EARLY,2024-04-01 20:00:00,2238.05,2024-04-10 15:30:14,6,0,0.0,0.0,0.0,0.0,0.0,0.0,24.208836040944558,0.0
23,UP,2024,3482,2024-04-03 12:00:00,EARLY,2024-04-03 12:00:00,2273.21,2024-04-10 15:30:14,7,0,0.0,0.0,0.0,0.0,0.0,0.0,45.59788960530472,0.0
23,UP,2024,3488,2024-04-04 12:00:00,EARLY,2024-04-04 12:00:00,2291.56,2024-04-10 15:30:14,8,0,0.0,0.0,0.0,0.0,0.0,0.0,58.596314086512216,0.0
23,UP,2024,3502,2024-04-08 20:00:00,EARLY,2024-04-08 20:00:00,2328.53,2024-04-10 15:30:14,9,0,0.0,0.0,0.0,0.0,0.0,0.0,83.75066753065465,0.0
23,UP,2024,3508,2024-04-09 20:00:00,EXACT,2024-04-09 20:00:00,2344.96,2024-04-10 15:30:14,10,1,0.1,9.139999999999873,0.8501330047967864,0.08501330047967864,0.8501330047967864,0.8391001718358954,95.32233035218168,0.8391001718358954
24,UP,2024,3527,2024-04-15 01:00:05,EXACT,2024-04-15 01:00:05,2354.54,2024-04-15 17:06:54,3,2,0.6666666666666666,16.610000000000127,1.4795131994329287,0.4931710664776429,0.9744656473086211,1.4036834630752681,-0.7715611088427003,0.9245211972331965
26,DOWN,2024,3547,2024-04-18 08:00:00,EXACT,2024-04-18 08:00:00,2375.34,2024-04-19 04:21:33,1,1,1.0,12.370000000000346,0.990631864340078,0.990631864340078,0.990631864340078,0.9788837203208136,-0.9788837203208136,0.9788837203208136
