variant,combo,delta,PF,DD,EXACT,EARLY,LATE,FALSE
FULL,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE,4221.000000000001,2.1029490064262824,1529.5000000000027,23,8,5,1
without SAME_PARTICIPATION_LOSS,OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE,1113.8800000000028,1.6824067855685532,2449.949999999996,10,7,4,1
without OPP_PRESSURE_GAIN,SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE,692.8200000000043,1.652018062929055,2295.989999999996,13,5,1,1
without CYCLE_MIN,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE,1923.3300000000027,1.7792436747497546,1671.3099999999968,9,5,5,1
without RESILIENT_PRESSURE,SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN,2819.0899999999992,1.8969896306434078,2011.7199999999984,21,10,5,1
