nha_bars_seen,test_year,feature_set,method,auc,n,terminal,false_early
1,2025,PHA_NHA,MECH_RANK,0.6531080517313308,98,51,47
1,2025,PHA_NHA,LOGIT,0.6620775969962454,98,51,47
1,2025,DAMAGE,MECH_RANK,0.5621610346266166,98,51,47
1,2025,DAMAGE,LOGIT,0.5536086775135587,98,51,47
1,2025,DELIVERY,MECH_RANK,0.6587400917813935,98,51,47
1,2025,DELIVERY,LOGIT,0.6236962870254484,98,51,47
1,2025,DAMAGE_PHA_DELIVERY,MECH_RANK,0.6904463913224865,98,51,47
1,2025,DAMAGE_PHA_DELIVERY,LOGIT,0.6787651230705048,98,51,47
1,2026,PHA_NHA,MECH_RANK,0.5145945945945946,62,37,25
1,2026,PHA_NHA,LOGIT,0.5394594594594595,62,37,25
1,2026,DAMAGE,MECH_RANK,0.6005405405405405,62,37,25
1,2026,DAMAGE,LOGIT,0.5945945945945946,62,37,25
1,2026,DELIVERY,MECH_RANK,0.6616216216216217,62,37,25
1,2026,DELIVERY,LOGIT,0.6410810810810811,62,37,25
1,2026,DAMAGE_PHA_DELIVERY,MECH_RANK,0.6200000000000001,62,37,25
1,2026,DAMAGE_PHA_DELIVERY,LOGIT,0.6043243243243244,62,37,25
2,2025,PHA_NHA,MECH_RANK,0.7357142857142858,75,40,35
2,2025,PHA_NHA,LOGIT,0.7235714285714285,75,40,35
2,2025,DAMAGE,MECH_RANK,0.5807142857142857,75,40,35
2,2025,DAMAGE,LOGIT,0.5257142857142858,75,40,35
2,2025,DELIVERY,MECH_RANK,0.6835714285714285,75,40,35
2,2025,DELIVERY,LOGIT,0.42142857142857143,75,40,35
2,2025,DAMAGE_PHA_DELIVERY,MECH_RANK,0.7485714285714287,75,40,35
2,2025,DAMAGE_PHA_DELIVERY,LOGIT,0.5592857142857144,75,40,35
2,2026,PHA_NHA,MECH_RANK,0.6034858387799564,44,27,17
2,2026,PHA_NHA,LOGIT,0.6143790849673203,44,27,17
2,2026,DAMAGE,MECH_RANK,0.7342047930283224,44,27,17
2,2026,DAMAGE,LOGIT,0.7494553376906319,44,27,17
2,2026,DELIVERY,MECH_RANK,0.7080610021786492,44,27,17
2,2026,DELIVERY,LOGIT,0.7167755991285403,44,27,17
2,2026,DAMAGE_PHA_DELIVERY,MECH_RANK,0.7135076252723311,44,27,17
2,2026,DAMAGE_PHA_DELIVERY,LOGIT,0.5424836601307189,44,27,17
3,2025,PHA_NHA,MECH_RANK,0.5952380952380953,50,29,21
3,2025,PHA_NHA,LOGIT,0.5714285714285714,50,29,21
3,2025,DAMAGE,MECH_RANK,0.5238095238095238,50,29,21
3,2025,DAMAGE,LOGIT,0.4318555008210181,50,29,21
3,2025,DELIVERY,MECH_RANK,0.5788177339901478,50,29,21
3,2025,DELIVERY,LOGIT,0.4958949096880132,50,29,21
3,2025,DAMAGE_PHA_DELIVERY,MECH_RANK,0.6075533661740559,50,29,21
3,2025,DAMAGE_PHA_DELIVERY,LOGIT,0.4991789819376027,50,29,21
3,2026,PHA_NHA,MECH_RANK,0.6909090909090909,31,20,11
3,2026,PHA_NHA,LOGIT,0.6499999999999999,31,20,11
3,2026,DAMAGE,MECH_RANK,0.8681818181818182,31,20,11
3,2026,DAMAGE,LOGIT,0.843181818181818,31,20,11
3,2026,DELIVERY,MECH_RANK,0.7045454545454545,31,20,11
3,2026,DELIVERY,LOGIT,0.6045454545454546,31,20,11
3,2026,DAMAGE_PHA_DELIVERY,MECH_RANK,0.7909090909090909,31,20,11
3,2026,DAMAGE_PHA_DELIVERY,LOGIT,0.6727272727272728,31,20,11
4,2025,PHA_NHA,MECH_RANK,0.7814814814814816,33,18,15
4,2025,PHA_NHA,LOGIT,0.8111111111111111,33,18,15
4,2025,DAMAGE,MECH_RANK,0.5666666666666667,33,18,15
4,2025,DAMAGE,LOGIT,0.5407407407407407,33,18,15
4,2025,DELIVERY,MECH_RANK,0.8574074074074074,33,18,15
4,2025,DELIVERY,LOGIT,0.19999999999999998,33,18,15
4,2025,DAMAGE_PHA_DELIVERY,MECH_RANK,0.8537037037037037,33,18,15
4,2025,DAMAGE_PHA_DELIVERY,LOGIT,0.6037037037037036,33,18,15
4,2026,PHA_NHA,MECH_RANK,0.6666666666666667,21,15,6
4,2026,PHA_NHA,LOGIT,0.6111111111111112,21,15,6
4,2026,DAMAGE,MECH_RANK,0.8222222222222222,21,15,6
4,2026,DAMAGE,LOGIT,0.7611111111111111,21,15,6
4,2026,DELIVERY,MECH_RANK,0.8333333333333333,21,15,6
4,2026,DELIVERY,LOGIT,0.8555555555555556,21,15,6
4,2026,DAMAGE_PHA_DELIVERY,MECH_RANK,0.8222222222222222,21,15,6
4,2026,DAMAGE_PHA_DELIVERY,LOGIT,0.6777777777777778,21,15,6
