policy,N,PnL,PF,WR,DD,AvgWin,AvgLoss,P90,P95,Max,delta_vs_base,oracle_recovery
BASE_COMMON,693,7210.31,1.5655100744307895,0.4126984126984127,1700.619999999999,69.79164335664336,-31.327027027027018,94.95000000000002,137.13199999999998,588.9,0.0,0.0
CYCLEMIN_GT0,693,9124.820000000009,1.873542113219036,0.46176046176046176,1627.66999999999,61.15809375000002,-28.004745308310987,90.33999999999992,134.6619999999999,518.4700000000003,1914.5100000000084,0.15252203770608755
CONFIRMED_CYCLE1_GT0,693,8795.77,1.836088683230452,0.4588744588744589,1800.6899999999923,60.74185534591194,-28.05370666666665,87.90000000000003,133.61799999999997,546.3199999999997,1585.46,0.12630782283795464
CONFIRMED_CYCLE2_GT0,693,8418.529999999997,1.7660096213777658,0.44733044733044736,2002.640000000004,62.60851612903225,-28.694804177545695,93.76799999999994,128.2899999999999,558.4700000000003,1208.2199999999966,0.09625448621174493
ORACLE_HA1_TICK,693,19762.660000000003,3.593756398208766,0.5324675324675324,856.810000000005,74.2059078590786,-23.516419753086407,121.85200000000006,179.16200000000023,588.9,12552.350000000002,1.0
