rule,signals,PnL,PF,DD,delta_vs_BASE,oracle_recovery,EXACT,EARLY,LATE,MISS,FALSE_NO_ORACLE,exact_recall_156
losing_count >= 1,135,6972.360000000002,1.6676823750338754,2006.3999999999987,-237.949999999998,-0.018956609718498763,73,45,2,36,15,0.46794871794871795
losing_count >= 2,54,7560.6600000000035,1.711519875174924,2106.4900000000025,350.3500000000031,0.02791110827852976,30,20,2,104,2,0.19230769230769232
losing_count >= 3,17,7205.720000000004,1.5943008899189262,2014.9100000000017,-4.5899999999965075,-0.0003656685799867361,9,6,2,139,0,0.057692307692307696
losing_count >= 4,6,6972.690000000003,1.5533424225302044,1612.2400000000007,-237.61999999999716,-0.018930319820591134,1,3,2,150,0,0.00641025641025641
total_loss_entry_ATR >= 0.25,122,7806.660000000001,1.75468958450146,2006.3999999999978,596.3500000000004,0.047509032173258414,71,39,2,44,10,0.4551282051282051
max_single_loss_entry_ATR >= 0.25,121,7721.010000000001,1.743450642586639,2006.3999999999978,510.7000000000007,0.04068560867088638,69,39,3,45,10,0.4423076923076923
total_loss_current_ATR >= 0.25,122,7806.660000000001,1.75468958450146,2006.3999999999978,596.3500000000004,0.047509032173258414,71,39,2,44,10,0.4551282051282051
total_loss_entry_ATR >= 0.5,105,8280.340000000006,1.7800808688312089,2118.6699999999946,1070.0300000000052,0.08524539229706031,60,35,2,59,8,0.38461538461538464
max_single_loss_entry_ATR >= 0.5,103,8123.270000000004,1.7546856215939017,2234.849999999995,912.9600000000037,0.0727321975566331,59,34,2,61,8,0.3782051282051282
total_loss_current_ATR >= 0.5,105,8280.340000000006,1.7800808688312089,2118.6699999999946,1070.0300000000052,0.08524539229706031,60,35,2,59,8,0.38461538461538464
total_loss_entry_ATR >= 0.75,89,8612.860000000004,1.791480578866308,1847.3000000000002,1402.5500000000038,0.11173604942500835,46,31,7,72,5,0.2948717948717949
max_single_loss_entry_ATR >= 0.75,80,9547.000000000007,1.8665022064175818,1639.020000000004,2336.690000000007,0.1861555804291632,43,25,7,81,5,0.27564102564102566
total_loss_current_ATR >= 0.75,90,8703.860000000004,1.8014205555156564,1847.2999999999993,1493.5500000000038,0.11898568793891212,46,32,7,71,5,0.2948717948717949
total_loss_entry_ATR >= 1,69,9017.610000000006,1.8177383813194297,2139.59,1807.3000000000056,0.14398100754042115,37,22,7,90,3,0.23717948717948717
max_single_loss_entry_ATR >= 1,53,8814.660000000003,1.7657224563829754,1955.619999999998,1604.350000000003,0.12781272032726962,29,16,5,106,3,0.1858974358974359
total_loss_current_ATR >= 1,69,9017.610000000006,1.8177383813194297,2139.59,1807.3000000000056,0.14398100754042115,37,22,7,90,3,0.23717948717948717
total_loss_entry_ATR >= 1.5,35,8856.310000000007,1.7817538885510087,1493.7800000000016,1646.0000000000064,0.13113082410863353,22,10,3,121,0,0.14102564102564102
max_single_loss_entry_ATR >= 1.5,13,8122.510000000006,1.667523275967631,1700.6199999999972,912.2000000000053,0.07267165112508854,10,2,1,143,0,0.0641025641025641
total_loss_current_ATR >= 1.5,35,8856.310000000007,1.7817538885510087,1493.7800000000016,1646.0000000000064,0.13113082410863353,22,10,3,121,0,0.14102564102564102
total_loss_entry_ATR >= 2,19,8953.400000000009,1.760058676319285,1603.900000000007,1743.0900000000083,0.13886563073846794,16,2,1,137,0,0.10256410256410256
max_single_loss_entry_ATR >= 2,4,7716.220000000004,1.6113029190545836,1700.619999999999,505.9100000000035,0.040304006819440456,4,0,0,152,0,0.02564102564102564
total_loss_current_ATR >= 2,19,8953.400000000009,1.760058676319285,1603.900000000007,1743.0900000000083,0.13886563073846794,16,2,1,137,0,0.10256410256410256
