combo,mean_auc,min_auc,mean_pair,min_pair,years
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE,0.6656648770619359,0.6144179894179894,0.6190476190476191,0.5714285714285714,2
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY,0.6650813103018987,0.6066176470588236,0.5476190476190476,0.42857142857142855,2
CYCLE_MIN+RESILIENT_PRESSURE+OLD_BEST3,0.6647117180205415,0.5992647058823529,0.43452380952380953,0.2857142857142857,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY,0.6642059601618424,0.6286764705882353,0.5773809523809523,0.5714285714285714,2
CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,0.6625914254590725,0.6360294117647058,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY+PHA_NHA,0.6625136165577342,0.6213235294117647,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+DELIVERY,0.6618181995020229,0.6305147058823529,0.4642857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE,0.6602474323062559,0.6587301587301588,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY+OLD_BEST3,0.6595666044195456,0.5955882352941176,0.5476190476190476,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+POSITION_DAMAGE,0.6581952225334579,0.6362433862433863,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+OLD_BEST3,0.6580979614067849,0.5992647058823529,0.4464285714285714,0.14285714285714285,2
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+OLD_BEST3,0.6577283691254279,0.5919117647058824,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,0.6559873949579832,0.6428571428571428,0.5357142857142857,0.5,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+PHA_NHA,0.6550925925925926,0.625,0.5059523809523809,0.42857142857142855,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE,0.6548348506069095,0.6231617647058824,0.4642857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+POSITION_DAMAGE+OLD_BEST3,0.654431216931217,0.625,0.40476190476190477,0.14285714285714285,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+OLD_BEST3,0.6542755991285403,0.5955882352941176,0.47619047619047616,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY,0.6538719654528478,0.5974264705882353,0.5059523809523809,0.42857142857142855,2
CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,0.653390522875817,0.5845588235294117,0.47619047619047616,0.2857142857142857,2
SAME_PARTICIPATION_LOSS,0.6529285325241208,0.6378676470588235,0.43452380952380953,0.2857142857142857,2
CYCLE_MIN+DELIVERY+POSITION_DAMAGE,0.6511243386243386,0.625,0.43452380952380953,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY+POSITION_DAMAGE,0.6459792250233427,0.6213235294117647,0.5476190476190476,0.42857142857142855,2
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY,0.6449725723622782,0.5716911764705882,0.5476190476190476,0.42857142857142855,2
RESILIENT_PRESSURE+OLD_BEST3,0.6424778244631186,0.5845588235294118,0.43452380952380953,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE,0.6377509337068161,0.6286764705882353,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+DELIVERY+POSITION_DAMAGE+OLD_BEST3,0.6363503734827265,0.6139705882352942,0.4642857142857143,0.42857142857142855,2
RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,0.636340647370059,0.5808823529411764,0.47619047619047616,0.2857142857142857,2
RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE+OLD_BEST3,0.6331893868658575,0.6102941176470589,0.39285714285714285,0.2857142857142857,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,0.6325960939931529,0.5919117647058824,0.43452380952380953,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN,0.6324404761904763,0.5625,0.4642857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+PHA_NHA,0.6306119670090259,0.5919117647058824,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+DELIVERY+OLD_BEST3,0.6297268907563025,0.5808823529411764,0.35119047619047616,0.2857142857142857,2
RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,0.6295907251789605,0.6176470588235294,0.4642857142857143,0.42857142857142855,2
CYCLE_MIN+DELIVERY+OLD_BEST3,0.6283263305322129,0.5661764705882353,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN,0.6275287892934952,0.6029411764705883,0.5476190476190476,0.42857142857142855,2
CYCLE_MIN+RESILIENT_PRESSURE+PHA_NHA,0.6273731714908185,0.5735294117647058,0.43452380952380953,0.2857142857142857,2
CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,0.6253987706193589,0.6066176470588235,0.39285714285714285,0.2857142857142857,2
CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY+PHA_NHA,0.6243580765639589,0.5661764705882353,0.47619047619047616,0.2857142857142857,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,0.6237842359165888,0.6139705882352942,0.43452380952380953,0.2857142857142857,2
CYCLE_MIN+OLD_BEST3,0.6223690865234982,0.5496323529411764,0.35119047619047616,0.2857142857142857,2
DELIVERY+POSITION_DAMAGE,0.6215180516651105,0.5886243386243387,0.4226190476190476,0.4166666666666667,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY+OLD_BEST3,0.6205357142857143,0.5625,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE+OLD_BEST3,0.6202633831310301,0.6044973544973544,0.47619047619047616,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+PHA_NHA,0.6202439309056956,0.5698529411764707,0.4642857142857143,0.42857142857142855,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+OLD_BEST3,0.6181139122315593,0.5735294117647058,0.35119047619047616,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY+OLD_BEST3,0.617228835978836,0.5625,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+POSITION_DAMAGE+OLD_BEST3,0.616586912542795,0.6044973544973545,0.43452380952380953,0.2857142857142857,2
DELIVERY,0.6165334189231249,0.5716911764705882,0.5357142857142857,0.5,2
CYCLE_MIN+DELIVERY+POSITION_DAMAGE+OLD_BEST3,0.6118697478991597,0.5808823529411765,0.35119047619047616,0.2857142857142857,2
CYCLE_MIN+POSITION_DAMAGE+OLD_BEST3,0.610770697167756,0.5919117647058824,0.27976190476190477,0.14285714285714285,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY+PHA_NHA,0.6100995953937131,0.5588235294117647,0.5059523809523809,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+POSITION_DAMAGE+PHA_NHA,0.6084947868036104,0.5992647058823529,0.3214285714285714,0.14285714285714285,2
SAME_PARTICIPATION_LOSS+OLD_BEST3,0.6084169779022719,0.5845588235294117,0.43452380952380953,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,0.6070164176781823,0.5698529411764706,0.39285714285714285,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+CYCLE_MIN+PHA_NHA,0.6053240740740742,0.5625,0.43452380952380953,0.2857142857142857,2
RESILIENT_PRESSURE+DELIVERY+PHA_NHA,0.6053240740740741,0.5625,0.5059523809523809,0.42857142857142855,2
RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE+PHA_NHA,0.6034955648926237,0.5919117647058825,0.4226190476190476,0.4166666666666667,2
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE+OLD_BEST3,0.6034955648926237,0.5919117647058824,0.47619047619047616,0.2857142857142857,2
RESILIENT_PRESSURE+PHA_NHA,0.6021679505135388,0.5753676470588236,0.4642857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+OLD_BEST3,0.6018323996265174,0.5588235294117647,0.47619047619047616,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+OLD_BEST3,0.5998385465297229,0.525735294117647,0.39285714285714285,0.2857142857142857,2
CYCLE_MIN+RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,0.5984477124183007,0.5441176470588236,0.39285714285714285,0.2857142857142857,2
OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE,0.5966678338001867,0.5793650793650793,0.39285714285714285,0.2857142857142857,2
RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,0.5962301587301587,0.5674603174603174,0.4226190476190476,0.4166666666666667,2
SAME_PARTICIPATION_LOSS+DELIVERY+POSITION_DAMAGE+PHA_NHA,0.5851229380641145,0.582010582010582,0.4226190476190476,0.4166666666666667,2
DELIVERY+POSITION_DAMAGE+OLD_BEST3,0.5827692187986305,0.5808823529411764,0.4226190476190476,0.4166666666666667,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY+PHA_NHA,0.5812130407718643,0.5367647058823529,0.4642857142857143,0.42857142857142855,2
OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE+OLD_BEST3,0.5790927482103952,0.5735294117647058,0.39285714285714285,0.2857142857142857,2
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,0.575717787114846,0.5595238095238095,0.35119047619047616,0.2857142857142857,2
CYCLE_MIN+DELIVERY+POSITION_DAMAGE+PHA_NHA,0.5737239340180517,0.5588235294117647,0.4642857142857143,0.42857142857142855,2
POSITION_DAMAGE,0.5732911220043573,0.4351851851851852,0.4226190476190476,0.4166666666666667,2
