combo,total_delta,min_year_delta,mean_recovery,EXACT,EARLY,LATE,FALSE,signals,positive_both
CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE,1775.9000000000058,164.26000000000948,0.16775951711003068,16,8,4,1,29,True
CYCLE_MIN+RESILIENT_PRESSURE+OLD_BEST3,1939.3600000000047,719.3100000000071,0.17713982456959068,12,3,4,1,20,True
CYCLE_MIN+RESILIENT_PRESSURE+PHA_NHA,2128.1100000000033,711.360000000002,0.1952552139813775,15,6,7,1,29,True
CYCLE_MIN+RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,1270.3200000000106,120.6600000000089,0.1199646454317744,16,11,12,2,41,True
CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE,965.9000000000068,345.1899999999995,0.08527850367731712,10,3,0,0,13,True
CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,498.1100000000065,-816.3899999999917,0.05673507028806177,16,8,5,1,30,False
CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,1169.6600000000067,432.29000000000804,0.10685321093266101,13,7,7,1,28,True
DELIVERY,139.63000000000267,-158.08999999999247,0.015109652447458847,10,8,9,3,30,False
DELIVERY+OLD_BEST3,328.0200000000078,20.37000000000998,0.031098161664038868,7,7,10,3,27,True
DELIVERY+PHA_NHA,-135.64999999999617,-116.44000000000142,-0.012739314253392389,4,8,13,3,28,False
DELIVERY+PHA_NHA+OLD_BEST3,318.580000000005,-12.739999999993458,0.030568283562712056,6,7,13,3,29,False
DELIVERY+POSITION_DAMAGE,119.07000000000494,-465.4999999999918,0.016596870076400642,12,12,10,3,37,False
DELIVERY+POSITION_DAMAGE+OLD_BEST3,-176.14999999998776,-401.1999999999907,-0.012319242662495369,12,9,10,2,33,False
DELIVERY+POSITION_DAMAGE+PHA_NHA,757.2500000000057,-12.739999999993458,0.07246248558928099,13,14,26,3,56,False
DELIVERY+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,336.75000000000676,-12.739999999993458,0.03230356897275339,11,13,25,3,52,False
OLD_BEST3,1511.7700000000036,740.450000000001,0.1357199679344197,6,3,8,1,18,True
OPP_PRESSURE_GAIN,1788.5299999999938,774.2200000000015,0.16211876253472257,8,9,13,6,36,True
OPP_PRESSURE_GAIN+CYCLE_MIN,2422.0599999999995,1190.1799999999955,0.217485286412809,12,7,7,1,27,True
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY,812.2500000000014,299.8200000000045,0.07420657346214361,4,2,2,1,9,True
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY+OLD_BEST3,1738.4700000000007,587.4499999999966,0.15310821875526018,8,5,8,2,23,True
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY+PHA_NHA,1273.800000000013,441.1900000000097,0.11669896511263214,15,11,16,3,45,True
OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY+POSITION_DAMAGE,746.7600000000036,277.92000000000706,0.06819792978500289,11,8,6,1,26,True
OPP_PRESSURE_GAIN+CYCLE_MIN+OLD_BEST3,1622.0900000000013,587.4499999999966,0.14330000068548518,8,5,8,1,22,True
OPP_PRESSURE_GAIN+CYCLE_MIN+PHA_NHA,609.0900000000049,97.92000000000736,0.057070608171580633,8,6,13,1,28,True
OPP_PRESSURE_GAIN+CYCLE_MIN+PHA_NHA+OLD_BEST3,918.1800000000069,418.7599999999984,0.08208262208135653,7,6,15,2,30,True
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE,1288.5400000000043,179.98999999999796,0.11061539193530767,11,6,2,1,20,True
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE+OLD_BEST3,1819.2600000000086,527.4500000000025,0.15924348468818217,13,7,7,1,28,True
OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE+PHA_NHA,1286.2600000000048,459.46000000000095,0.11356036031712513,5,3,3,0,11,True
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE,1113.8800000000028,390.73000000000707,0.10199258764578664,10,7,4,1,22,True
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY,1924.9800000000012,443.87000000000717,0.17885837804256266,19,11,6,2,38,True
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+OLD_BEST3,1680.5999999999997,779.0399999999961,0.15038172452857268,11,5,5,1,22,True
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+PHA_NHA,1393.680000000009,571.580000000007,0.12668417711430202,15,11,9,2,37,True
OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE,854.8600000000067,231.37000000000836,0.07904431516623095,11,6,3,1,21,True
OPP_PRESSURE_GAIN+DELIVERY,984.3800000000033,242.0699999999988,0.08567840432304785,5,5,7,4,21,True
OPP_PRESSURE_GAIN+DELIVERY+OLD_BEST3,1503.5200000000077,273.13999999999703,0.12977900593398906,7,5,11,3,26,True
OPP_PRESSURE_GAIN+DELIVERY+PHA_NHA,996.1300000000077,73.30999999999962,0.08477429171117308,7,11,20,4,42,True
OPP_PRESSURE_GAIN+DELIVERY+PHA_NHA+OLD_BEST3,1672.4100000000096,388.5400000000004,0.14530803077371296,5,5,18,4,32,True
OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE,1081.0900000000038,-76.57000000000197,0.09025206927712812,9,7,6,3,25,False
OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE+OLD_BEST3,2050.6900000000114,560.7500000000033,0.1791216326092343,13,7,10,4,34,True
OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE+PHA_NHA,695.8900000000029,20.53999999999833,0.058878451812748,10,10,13,4,37,True
OPP_PRESSURE_GAIN+OLD_BEST3,262.67000000000814,130.47000000000887,0.023621155131758692,2,6,10,3,21,True
OPP_PRESSURE_GAIN+PHA_NHA,291.2200000000027,60.28000000000377,0.027135659766615854,1,6,16,4,27,True
OPP_PRESSURE_GAIN+PHA_NHA+OLD_BEST3,455.6600000000011,-261.39999999999804,0.046451074995171523,1,10,19,3,33,False
OPP_PRESSURE_GAIN+POSITION_DAMAGE,1035.4800000000037,-124.9600000000001,0.08586498153864014,6,7,4,1,18,False
OPP_PRESSURE_GAIN+POSITION_DAMAGE+OLD_BEST3,1433.1200000000067,573.6100000000083,0.13042801927364098,5,8,12,1,26,True
OPP_PRESSURE_GAIN+POSITION_DAMAGE+PHA_NHA,898.0399999999996,-5.540000000001399,0.0756223984201312,9,13,21,4,47,False
OPP_PRESSURE_GAIN+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,1476.8700000000058,674.3800000000084,0.13347509702327057,5,10,16,2,33,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE,2010.5700000000038,516.1499999999986,0.17523977217382122,8,6,5,1,20,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY,1821.7200000000016,538.6299999999954,0.15957630570918527,9,6,7,3,25,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,1730.2300000000075,634.6700000000071,0.15811743468477202,14,9,13,3,39,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY+PHA_NHA,1289.400000000007,131.74999999999443,0.11014636445566081,9,7,12,3,31,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE,1811.550000000003,445.38999999999845,0.15767256082321915,10,6,7,1,24,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+OLD_BEST3,1891.9900000000023,609.0899999999954,0.16628941846100356,12,7,9,2,30,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+PHA_NHA,1163.2100000000078,412.35999999999825,0.10266130181030239,6,5,11,3,25,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,1983.8500000000067,972.1399999999961,0.17810647936117313,14,13,21,3,51,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+POSITION_DAMAGE,1362.3800000000035,16.95999999999789,0.11500839138918328,11,6,3,2,22,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,1792.120000000003,440.49999999999784,0.15598015707931723,11,7,9,1,28,True
OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,1383.400000000005,556.6000000000013,0.12283749981802768,5,3,3,1,12,True
PHA_NHA,62.05000000000169,-165.02000000000106,0.003377029212305014,0,6,10,2,18,False
PHA_NHA+OLD_BEST3,202.60000000000656,-220.1499999999972,0.021820101278136064,1,4,12,1,18,False
POSITION_DAMAGE,859.5200000000029,-490.3400000000017,0.06693402615853662,12,12,10,2,36,False
POSITION_DAMAGE+OLD_BEST3,865.1000000000032,94.52000000000149,0.0739694955282524,6,5,4,0,15,True
POSITION_DAMAGE+PHA_NHA,989.2800000000034,172.94999999999914,0.08531547477581827,6,11,19,1,37,True
POSITION_DAMAGE+PHA_NHA+OLD_BEST3,-246.83999999999992,-237.94000000000176,-0.023474000080513983,8,16,28,3,55,False
RESILIENT_PRESSURE,1403.160000000003,419.1400000000083,0.1293007208064548,9,3,4,1,17,True
RESILIENT_PRESSURE+DELIVERY,1889.8700000000051,914.7499999999972,0.16954186059224524,10,3,5,1,19,True
RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,811.3400000000083,352.1699999999988,0.0723309220559689,9,6,8,3,26,True
RESILIENT_PRESSURE+DELIVERY+PHA_NHA,688.6400000000095,331.31999999999846,0.061756023542957755,6,7,11,3,27,True
RESILIENT_PRESSURE+DELIVERY+PHA_NHA+OLD_BEST3,696.8200000000087,253.43999999999812,0.061571191063399824,6,6,12,3,27,True
RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE,366.51000000000766,164.26000000000948,0.03315886196099875,11,7,3,1,22,True
RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE+OLD_BEST3,724.4300000000073,194.57000000001045,0.06700097757492925,12,8,6,2,28,True
RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE+PHA_NHA,508.78000000000867,-95.42999999999033,0.04966112732021529,14,11,11,3,39,False
RESILIENT_PRESSURE+OLD_BEST3,752.7800000000047,37.210000000007824,0.0714748868582502,8,5,7,1,21,True
RESILIENT_PRESSURE+PHA_NHA,770.3200000000088,331.31999999999846,0.06863981158161747,6,6,11,2,25,True
RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,320.0900000000073,66.65000000000917,0.029821320008009175,5,7,12,3,27,True
RESILIENT_PRESSURE+POSITION_DAMAGE,523.150000000007,166.59000000000827,0.048092261699260105,12,6,2,1,21,True
RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,217.36000000000814,66.27000000000885,0.020014585594160104,9,6,3,1,19,True
RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,-201.73999999999484,-403.98999999999194,-0.014731840205607971,11,12,17,2,42,False
RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,404.4900000000072,8.149999999997988,0.034180900882820636,8,6,10,2,26,True
SAME_PARTICIPATION_LOSS,1831.4900000000052,687.4800000000059,0.16719524006608127,15,9,3,3,30,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN,1703.2600000000045,104.76000000000978,0.16149009806562173,23,14,6,1,44,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY,1937.060000000002,602.4500000000057,0.17823195111918733,14,5,2,1,22,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY+OLD_BEST3,1425.5900000000092,374.8000000000076,0.13194057570206175,17,12,9,1,39,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY+PHA_NHA,917.8400000000038,193.4200000000082,0.08548507820266642,17,13,9,1,40,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+DELIVERY+POSITION_DAMAGE,903.7200000000046,153.00000000000927,0.08459030370834315,12,8,4,1,25,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+OLD_BEST3,86.32000000000727,-288.48000000000036,0.004036575090843764,10,8,8,1,27,False
SAME_PARTICIPATION_LOSS+CYCLE_MIN+PHA_NHA,-98.37999999999238,-473.18,-0.013602787332634612,13,12,9,1,35,False
SAME_PARTICIPATION_LOSS+CYCLE_MIN+PHA_NHA+OLD_BEST3,923.890000000002,348.60000000000537,0.08432093540619984,15,14,14,2,45,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+POSITION_DAMAGE,1565.7000000000085,183.31000000001023,0.1474709928928363,21,16,6,1,44,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+POSITION_DAMAGE+OLD_BEST3,-300.1399999999882,-427.68999999999244,-0.02386327473346975,10,7,6,2,25,False
SAME_PARTICIPATION_LOSS+CYCLE_MIN+POSITION_DAMAGE+PHA_NHA,335.95000000000357,-210.1099999999933,0.03444269470992985,14,15,13,1,43,False
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE,692.8200000000045,272.12999999999664,0.06144388093034167,13,5,1,1,20,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE+DELIVERY,2482.600000000003,781.8000000000075,0.22831928572272567,15,2,2,1,20,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE+OLD_BEST3,946.0800000000072,374.8000000000076,0.08614604037081015,9,6,7,1,23,True
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE+PHA_NHA,355.3900000000012,-276.9799999999937,0.037049901234282145,14,10,7,1,32,False
SAME_PARTICIPATION_LOSS+CYCLE_MIN+RESILIENT_PRESSURE+POSITION_DAMAGE,479.11000000000456,128.89000000000755,0.044309511511198565,10,4,0,1,15,True
SAME_PARTICIPATION_LOSS+DELIVERY,1554.8500000000017,637.9800000000063,0.14133100253468,8,9,5,1,23,True
SAME_PARTICIPATION_LOSS+DELIVERY+OLD_BEST3,1503.7700000000036,-103.40999999999183,0.144775010286012,16,14,13,4,47,False
SAME_PARTICIPATION_LOSS+DELIVERY+PHA_NHA,1279.6300000000003,495.4200000000048,0.11664700087956606,11,11,13,3,38,True
SAME_PARTICIPATION_LOSS+DELIVERY+PHA_NHA+OLD_BEST3,502.94000000000796,-19.2599999999931,0.048248363684939684,16,14,21,4,55,False
SAME_PARTICIPATION_LOSS+DELIVERY+POSITION_DAMAGE,-685.9599999999922,-571.2100000000015,-0.06422298544774169,9,9,6,2,26,False
SAME_PARTICIPATION_LOSS+DELIVERY+POSITION_DAMAGE+OLD_BEST3,459.15000000001334,-15.389999999997087,0.03852326783481364,11,8,6,3,28,False
SAME_PARTICIPATION_LOSS+DELIVERY+POSITION_DAMAGE+PHA_NHA,15.630000000002681,-19.2599999999931,0.0017089067137141558,12,15,16,4,47,False
SAME_PARTICIPATION_LOSS+OLD_BEST3,1255.9400000000082,376.2300000000058,0.11572247792249651,19,15,14,2,50,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN,1876.0700000000095,532.6800000000012,0.16408999880915492,11,7,7,3,28,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN,2819.0899999999992,974.5400000000056,0.25829145922502084,21,10,5,1,37,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+DELIVERY,1090.1700000000033,474.18000000000825,0.09879146959934453,14,10,6,1,31,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+OLD_BEST3,2185.4899999999993,1008.3399999999962,0.1955065531169865,19,12,9,2,42,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+PHA_NHA,1250.0099999999995,437.159999999995,0.11025497700997304,14,14,12,2,42,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+POSITION_DAMAGE,2540.2300000000014,1173.7299999999952,0.22725970585502667,22,14,5,2,43,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+CYCLE_MIN+RESILIENT_PRESSURE,4220.999999999999,2054.759999999995,0.3788006209981046,23,8,5,1,37,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY,1652.6000000000026,265.7099999999972,0.14225969536864902,8,6,8,3,25,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY+OLD_BEST3,3117.830000000001,1508.2599999999957,0.2796935863568374,20,13,15,4,52,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY+PHA_NHA,907.4200000000038,234.63999999999896,0.07910900256942893,4,7,12,3,26,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE,736.020000000002,-696.8400000000015,0.05420773762247984,9,8,5,3,25,False
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+OLD_BEST3,1530.510000000002,309.03000000000236,0.13245653055526727,7,7,12,3,29,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+PHA_NHA,657.0400000000033,278.58000000000493,0.05962201220360114,11,14,19,4,48,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+PHA_NHA+OLD_BEST3,981.0800000000085,350.19000000000403,0.08661396272825245,6,6,15,3,30,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+POSITION_DAMAGE,1208.3600000000072,-90.80999999999626,0.10081822198076935,8,7,3,2,20,False
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+POSITION_DAMAGE+OLD_BEST3,1315.7100000000064,362.75000000000307,0.1149567392491237,9,7,10,2,28,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+POSITION_DAMAGE+PHA_NHA,802.4200000000037,-90.80999999999626,0.06660660449284607,8,6,10,2,26,False
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE,1923.3300000000015,584.6599999999969,0.16865644311390837,9,5,5,1,20,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+DELIVERY,1504.7300000000023,-132.36000000000394,0.12532914211305088,9,7,7,1,24,False
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+OLD_BEST3,1964.870000000002,475.90999999999804,0.17093658526084443,9,6,6,1,22,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+PHA_NHA,1022.260000000005,234.63999999999896,0.08878743325453786,5,6,8,1,20,True
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+RESILIENT_PRESSURE+POSITION_DAMAGE,1264.1300000000049,-150.470000000001,0.10484868088610433,10,7,2,1,20,False
SAME_PARTICIPATION_LOSS+PHA_NHA,-311.3999999999951,-185.90999999999798,-0.027652677363815097,3,3,4,0,10,False
SAME_PARTICIPATION_LOSS+PHA_NHA+OLD_BEST3,406.93000000000086,71.23999999999842,0.03806325702707969,1,2,5,0,8,True
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE,438.2000000000115,-171.07999999999493,0.03500999427845922,14,9,2,3,28,False
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE+OLD_BEST3,906.7700000000036,-231.70999999999339,0.08920005380744411,17,17,17,2,53,False
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE+PHA_NHA,-68.35999999999758,-99.61999999999617,-0.006879471027625084,7,7,10,2,26,False
SAME_PARTICIPATION_LOSS+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,141.1800000000113,-43.72999999999584,0.011407420364852223,8,7,12,3,30,False
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE,2079.8399999999997,591.2100000000034,0.19199400907241757,12,4,1,1,18,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY,3269.8700000000035,1196.140000000007,0.2988546840401692,20,11,8,1,40,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY+OLD_BEST3,2249.770000000004,638.5100000000086,0.20769184110639247,19,12,7,2,40,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY+PHA_NHA,2430.390000000009,778.5700000000079,0.22336934343708015,20,11,12,2,45,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+DELIVERY+POSITION_DAMAGE,1406.0900000000042,183.31000000001006,0.1322277950779394,15,10,5,1,31,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+OLD_BEST3,2712.5700000000015,1085.330000000006,0.24687485804874795,21,11,10,2,44,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+PHA_NHA,836.0000000000077,146.4199999999994,0.07209961019395551,12,7,7,1,27,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+PHA_NHA+OLD_BEST3,1837.0400000000016,339.3500000000063,0.17163312738857828,16,12,13,2,43,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+POSITION_DAMAGE,2554.5800000000036,638.5100000000089,0.2368020417577213,19,11,7,1,38,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+POSITION_DAMAGE+OLD_BEST3,824.6300000000073,365.5899999999974,0.07360161320989451,14,10,6,1,31,True
SAME_PARTICIPATION_LOSS+RESILIENT_PRESSURE+POSITION_DAMAGE+PHA_NHA,27.08000000000129,-586.8399999999946,0.009173641922309794,15,15,10,1,41,False
