year,BASE,CANDIDATE,ORACLE,delta,oracle_recovery,BASE_PF,CAND_PF,ORACLE_PF,BASE_DD,CAND_DD,ORACLE_DD,EXACT,EARLY,LATE,MISS,FALSE_NO_ORACLE
2024,1902.3600000000004,1852.3699999999965,3351.6299999999983,-49.990000000003874,-0.03449322762494494,1.776413257747358,1.800979836809172,2.985421652489159,712.3199999999995,602.650000000003,300.2399999999984,9,8,3,38,2
2025,2848.1600000000003,3904.460000000009,8018.460000000001,1056.3000000000088,0.20430149120940924,1.768153622093964,2.2421175864273954,5.048929756260132,1084.9500000000003,707.9099999999997,232.6299999999992,15,9,5,28,0
2026,2459.7899999999995,2661.6999999999925,8392.570000000005,201.90999999999303,0.034032949140199505,1.3731415282815365,1.480964350055744,3.124265656915927,1700.6199999999994,2002.6400000000049,856.8099999999977,10,5,4,22,2
