policy,year,N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,P90,P95,Max
BASE_ROLE,2022,197,234.6599999999994,1.2261085737411106,0.583756345177665,1.1911675126903523,11.065043478260867,-12.656341463414636,168.22999999999865,19.66399999999999,26.84800000000009,84.09999999999991
BASE_ROLE,2023,295,867.7100000000014,1.9563123381275167,0.7016949152542373,2.9413898305084794,8.575169082125607,-10.310795454545444,161.8000000000004,14.569999999999993,22.02600000000005,139.51
BASE_ROLE,2024,241,1287.8899999999983,1.9320581572910087,0.6224066390041494,5.343941908713686,17.79773333333333,-15.184285714285727,152.7700000000009,30.2199999999998,42.92000000000007,158.13999999999987
BASE_ROLE,2025,241,2711.210000000002,2.369152766625764,0.6846473029045643,11.249834024896273,28.432848484848485,-26.055394736842082,319.3000000000002,51.65000000000009,92.2199999999998,241.4699999999998
BASE_ROLE,2026,165,3429.270000000001,2.1315370071569295,0.6666666666666666,20.78345454545455,58.726363636363615,-55.10236363636357,440.34999999999854,90.32200000000009,176.14799999999946,592.9399999999996
HA1_REPLACE,2022,197,271.1900000000003,1.3105703160787912,0.6091370558375635,1.376598984771575,9.536583333333333,-11.340259740259736,125.8299999999997,16.742000000000058,23.893999999999856,43.00999999999999
HA1_REPLACE,2023,295,611.2100000000016,1.7582874299042266,0.6983050847457627,2.0718983050847513,6.879854368932039,-9.056629213483127,123.80000000000018,12.168000000000077,16.333000000000055,79.75
HA1_REPLACE,2024,241,1014.0499999999979,1.8707954418596637,0.6390041493775933,4.207676348547709,14.146493506493501,-13.385172413793116,137.0299999999993,28.309999999999945,36.970000000000255,84.16999999999985
HA1_REPLACE,2025,241,2162.440000000003,2.1626271532721155,0.7012448132780082,8.972780082987564,23.801183431952673,-25.83277777777776,237.2800000000002,48.52999999999975,70.34000000000015,165.3800000000001
HA1_REPLACE,2026,165,2366.6699999999996,1.8940783135943788,0.6666666666666666,14.343454545454543,45.579272727272716,-48.128181818181794,400.90999999999894,72.74600000000005,114.14400000000005,394.10000000000036
HA2_REPLACE,2022,197,181.53000000000043,1.1948185750008056,0.5989847715736041,0.9214720812182763,9.434915254237286,-11.79481012658227,130.91999999999916,16.981999999999974,23.893999999999856,39.450000000000045
HA2_REPLACE,2023,295,659.2500000000011,1.7795870583226927,0.7050847457627119,2.234745762711868,7.2350480769230785,-9.71999999999999,125.48000000000116,12.540000000000019,19.14999999999985,76.90000000000009
HA2_REPLACE,2024,241,1055.039999999999,1.8353907184087783,0.6265560165975104,4.377759336099581,15.35079470198675,-14.032555555555561,138.04999999999973,30.5300000000002,40.08000000000038,83.95000000000005
HA2_REPLACE,2025,241,2307.9500000000003,2.2316357950573416,0.6929460580912863,9.576556016597511,25.040958083832326,-25.322837837837817,263.0799999999999,48.71000000000004,77.52999999999975,161.8099999999995
HA2_REPLACE,2026,165,2622.710000000001,1.9607629807093518,0.6606060606060606,15.895212121212127,49.105779816513746,-48.74678571428567,495.64999999999964,91.87400000000015,139.9099999999995,275.10000000000036
HA1_EARLY,2022,197,278.25000000000045,1.318655519926707,0.6091370558375635,1.4124365482233525,9.595416666666667,-11.340259740259736,125.8299999999997,16.742000000000058,25.10599999999989,43.00999999999999
HA1_EARLY,2023,295,612.7800000000018,1.758062720356285,0.6983050847457627,2.077220338983057,6.89868932038835,-9.082584269662902,126.11000000000013,12.168000000000077,16.333000000000055,79.75
HA1_EARLY,2024,241,1014.0499999999979,1.8707954418596637,0.6390041493775933,4.207676348547709,14.146493506493501,-13.385172413793116,137.0299999999993,28.309999999999945,36.970000000000255,84.16999999999985
HA1_EARLY,2025,241,2148.390000000003,2.1550732273812363,0.7012448132780082,8.914481327800843,23.718047337278115,-25.83277777777776,237.2800000000002,48.52999999999975,70.34000000000015,165.3800000000001
HA1_EARLY,2026,165,2366.6699999999996,1.8940783135943788,0.6666666666666666,14.343454545454543,45.579272727272716,-48.128181818181794,400.90999999999894,72.74600000000005,114.14400000000005,394.10000000000036
HA2_EARLY,2022,197,213.98000000000047,1.23085055884003,0.5989847715736041,1.0861928934010177,9.66864406779661,-11.733164556962018,128.8199999999997,17.414000000000037,25.10599999999989,40.73000000000002
HA2_EARLY,2023,295,662.0400000000016,1.7888659842951304,0.7016949152542373,2.244203389830514,7.252512077294689,-9.536704545454535,142.38000000000102,12.540000000000019,19.381000000000114,76.90000000000009
HA2_EARLY,2024,241,1053.0099999999984,1.845383750802824,0.6265560165975104,4.369336099585055,15.222582781456952,-13.840000000000014,123.50000000000045,30.5300000000002,38.7800000000002,83.95000000000005
HA2_EARLY,2025,241,2303.5600000000004,2.2266158319044944,0.6929460580912863,9.558340248962658,25.0391616766467,-25.37810810810809,263.0799999999999,48.71000000000004,77.52999999999975,161.8099999999995
HA2_EARLY,2026,165,2653.010000000001,1.9744076630097454,0.6666666666666666,16.078848484848493,48.86999999999998,-49.503454545454495,491.0600000000004,90.11800000000001,139.9099999999995,287.75
