policy,N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,P90,P95,Max
BASE_ROLE,1139,8530.740000000002,2.0231428509747205,0.655838454784899,7.489675153643549,22.58168674698795,-21.269846938775498,440.34999999999854,35.36799999999995,59.9259999999992,592.9399999999996
HA1_REPLACE,1139,6425.560000000002,1.8741354635439063,0.6663740122914837,5.64140474100088,18.150619235836626,-19.344105263157886,400.90999999999894,31.99399999999969,51.118999999999495,394.10000000000036
HA2_REPLACE,1139,6826.480000000001,1.8930425807194342,0.6611062335381914,5.993397717295875,19.217197875165997,-19.8032901554404,495.64999999999964,32.98400000000003,52.78899999999975,275.10000000000036
HA1_EARLY,1139,6420.140000000003,1.8731237428720258,0.6663740122914837,5.6366461808604065,18.146521739130435,-19.350184210526304,400.90999999999894,31.99399999999969,51.118999999999495,394.10000000000036
HA2_EARLY,1139,6885.600000000002,1.9045218209189725,0.6611062335381914,6.045302897278316,19.253678618857897,-19.721295336787552,491.0600000000004,32.98400000000003,52.78899999999975,287.75
RAW1_REPLACE,1139,5330.630000000003,1.7556396946045487,0.675153643546971,4.6800965759438125,16.105448634590374,-19.066108108108097,338.6399999999994,28.536000000000072,45.58599999999991,200.21000000000004
RAW2_REPLACE,1139,6519.980000000002,1.8714057742838284,0.6681299385425812,5.724302019315191,18.3996320630749,-19.794021164021157,421.2999999999993,31.747999999999607,51.67900000000006,286.0799999999999
