block,n,mean_hold_increment,median_hold_increment,hold_better_rate
2024,164,-0.09156050571627038,-0.22705783867656598,0.17073170731707318
2025H1,76,0.8759727592139638,-0.21911748580755655,0.27631578947368424
2026JF,19,-1.0288626492982254,-0.6824358974358966,0.0
COMBINED,259,0.12358925261052751,-0.2348405917899664,0.1891891891891892
