block,challenge_ts,old_primary,challenger,d_old,d_challenger,challenge_topology,outcome,prediction,correct
2024,2024-06-13 19:00:00,UP,DOWN,43.98999999999978,9.940000000000055,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-06-18 13:25:00,UP,DOWN,17.59999999999991,14.460000000000036,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-06-21 18:20:00,UP,DOWN,64.01000000000022,17.129999999999654,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-06-25 16:01:00,UP,DOWN,46.05000000000018,5.989999999999782,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-06-28 11:26:00,DOWN,UP,34.370000000000346,6.210000000000036,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-07-01 08:30:00,UP,DOWN,20.690000000000055,22.470000000000255,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2024,2024-07-05 15:30:00,UP,DOWN,14.570000000000164,3.6599999999998545,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-07-08 18:53:00,UP,DOWN,41.36999999999989,1.050000000000182,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-07-09 18:21:00,UP,DOWN,42.42000000000007,31.449999999999818,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-07-18 21:31:00,UP,DOWN,23.389999999999873,50.17000000000007,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-07-24 04:14:00,DOWN,UP,23.890000000000327,62.73999999999978,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2024,2024-07-26 16:01:00,DOWN,UP,26.25,52.65000000000009,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-08-02 17:43:00,UP,DOWN,48.76999999999998,4.700000000000273,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-08-08 14:05:00,DOWN,UP,26.809999999999945,11.270000000000437,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-08-14 05:31:00,UP,DOWN,17.110000000000127,34.69999999999982,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2024,2024-08-14 16:20:00,UP,DOWN,28.390000000000327,31.4699999999998,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-08-16 14:18:00,DOWN,UP,37.94999999999982,9.670000000000073,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-08-21 17:00:00,UP,DOWN,22.579999999999927,11.690000000000055,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-08-26 10:23:00,DOWN,UP,47.5,0.8299999999999272,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-08-27 04:48:00,UP,DOWN,18.190000000000055,37.88000000000011,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2024,2024-08-28 09:03:00,UP,DOWN,28.210000000000036,32.679999999999836,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-09-04 17:01:00,DOWN,UP,26.09999999999991,9.329999999999927,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-09-17 07:39:00,UP,DOWN,14.470000000000255,74.25,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2024,2024-09-18 22:01:00,UP,DOWN,,5.0,NO_OLD_TARGET,CHALLENGER_EARNED,,
2024,2024-09-20 08:36:00,DOWN,UP,48.11000000000013,5.2400000000002365,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-09-27 17:48:00,UP,DOWN,30.770000000000437,5.0099999999997635,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-10-04 05:44:00,DOWN,UP,26.070000000000164,9.679999999999836,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-10-10 15:36:00,DOWN,UP,39.5,28.6899999999996,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-10-15 07:02:00,UP,DOWN,22.829999999999927,0.8099999999999454,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-10-15 19:08:00,DOWN,UP,65.11000000000013,3.3899999999998727,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-10-23 16:14:00,UP,DOWN,,23.73999999999978,NO_OLD_TARGET,CHALLENGER_EARNED,,
2024,2024-10-25 20:51:00,DOWN,UP,34.5,15.230000000000018,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-10-31 15:00:00,UP,DOWN,19.16000000000031,24.84999999999991,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-11-05 16:30:00,DOWN,UP,23.5,14.069999999999709,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-11-13 15:30:00,DOWN,UP,27.370000000000346,58.29999999999973,OLD_NEAREST,OLD_PRIMARY_WINS,OLD_PRIMARY_WINS,True
2024,2024-11-18 03:00:00,DOWN,UP,22.960000000000036,41.279999999999745,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-11-25 05:26:00,UP,DOWN,65.50999999999976,65.63000000000011,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-11-27 07:31:00,DOWN,UP,36.66000000000031,79.5,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-12-02 02:43:00,UP,DOWN,32.320000000000164,13.069999999999709,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-12-04 15:03:00,UP,DOWN,20.350000000000364,13.36999999999989,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2024,2024-12-05 17:41:00,UP,DOWN,23.06999999999971,10.550000000000182,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-12-09 01:00:00,DOWN,UP,32.210000000000036,9.86999999999989,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-12-13 10:57:00,UP,DOWN,50.93000000000029,51.07999999999993,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2024,2024-12-20 17:30:00,DOWN,UP,39.460000000000036,25.25,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2024,2024-12-30 10:50:00,UP,DOWN,26.659999999999854,1.5300000000002,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-01-13 12:04:00,UP,DOWN,18.789999999999964,15.509999999999764,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-01-14 21:36:00,DOWN,UP,18.4699999999998,22.769999999999982,OLD_NEAREST,CHALLENGER_EARNED,OLD_PRIMARY_WINS,False
2025H1,2025-01-20 03:05:00,UP,DOWN,34.73000000000002,13.220000000000255,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2025H1,2025-01-27 18:51:00,UP,DOWN,50.13000000000011,19.320000000000164,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2025H1,2025-02-03 01:24:00,UP,DOWN,,46.2800000000002,NO_OLD_TARGET,OLD_PRIMARY_WINS,,
2025H1,2025-02-12 12:43:00,UP,DOWN,60.90000000000009,29.300000000000182,CHALLENGER_NEAREST,OLD_PRIMARY_WINS,CHALLENGER_EARNED,False
2025H1,2025-02-19 18:00:00,UP,DOWN,,32.090000000000146,NO_OLD_TARGET,OLD_PRIMARY_WINS,,
2025H1,2025-02-21 10:12:00,UP,DOWN,30.779999999999745,5.550000000000182,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-02-24 14:02:00,DOWN,UP,28.579999999999927,5.170000000000073,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-02-25 09:52:00,UP,DOWN,25.419999999999618,9.680000000000291,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
2025H1,2025-03-03 14:31:00,DOWN,UP,44.26000000000022,43.83999999999969,CHALLENGER_NEAREST,CHALLENGER_EARNED,CHALLENGER_EARNED,True
