block,opportunities,valid_sl,median_sl,mean_sl,p10_sl,p90_sl
2024,286,284,21.615000000000123,24.914577464788746,10.341999999999826,43.455000000000176
2025H1,125,125,31.58999999999969,37.06591999999996,17.333999999999833,61.827999999999975
2026JF,41,41,80.90000000000055,137.75756097560983,42.19000000000051,251.23000000000047
