block,entries,max_concurrent,pct_entry_while_child_open,median_existing,p95_existing
2024,284,11,0.6901408450704225,1.0,6.0
2025H1,125,10,0.728,2.0,6.0
2026JF,41,8,0.7317073170731707,2.0,5.0
