resolved,wr,total_R,mean_R,PF,maxDD,avg_win_R,avg_loss_R,payoff,block,challenge_exit_fraction,hold_to_flip_fraction
65,0.47692307692307695,50.400013257901016,0.7753848193523233,3.0481752690933743,4.01379933639469,2.419589962122024,-0.7237433990553453,3.3431599725540235,2024,1.0,0.0
28,0.6071428571428571,19.791394323866175,0.7068355115666491,3.3787809103183246,2.022075055187618,1.653609876633948,-0.7563612344464491,2.18627000079421,2025H1,1.0,0.0
7,0.42857142857142855,6.30994355909221,0.9014205084417444,3.0694301996886777,2.0491212315551737,3.119688263549128,-0.7622803078887934,4.092573599584903,2026JF,1.0,0.0
100,0.51,76.50135114085938,0.7650135114085939,3.126433276518113,4.01379933639469,2.2054455199844556,-0.7342116403744459,3.0038280499879906,COMBINED,1.0,0.0
65,0.5076923076923077,49.87554926833363,0.7673161425897481,3.062502160701975,4.1390490979996315,2.244169952382718,-0.7556893487592521,2.969699064923127,2024,0.75,0.25
28,0.6428571428571429,28.32577642601525,1.0116348723576876,4.863515735973445,2.09919977924943,1.9809657086689196,-0.7331606330025298,2.701953186651914,2025H1,0.75,0.25
7,0.42857142857142855,5.4478561443807765,0.778265163482968,2.759121835174294,2.0969180391311557,2.8482580611706436,-0.7742295097827889,3.6788291135657256,2026JF,0.75,0.25
100,0.54,83.64918183872966,0.8364918183872966,3.4168671345152792,4.1390490979996315,2.1899956549663364,-0.7524039897707071,2.910664596068571,COMBINED,0.75,0.25
65,0.49230769230769234,49.351085278766234,0.7592474658271728,3.0022585086505407,4.26429885960458,2.3124623245634988,-0.7469002759777493,3.0960790870458705,2024,0.5,0.5
28,0.6785714285714286,36.86015852816433,1.316434233148726,5.816759784580787,2.1763245033112426,2.342770455536353,-0.8502755696695975,2.7553072663803726,2025H1,0.5,0.5
7,0.42857142857142855,4.585768729669344,0.655109818524192,2.458246280889712,2.1447148467071377,2.5768278587921607,-0.7861787116767844,3.2776617078529493,2026JF,0.5,0.5
100,0.54,90.7970125365999,0.907970125365999,3.561637981276777,4.26429885960458,2.3378132706962806,-0.770541393065201,3.033987909976514,COMBINED,0.5,0.5
65,0.46153846153846156,48.826621289198854,0.7511787890645978,2.92779216400552,4.389548621209521,2.4718120876743397,-0.7236497526008951,3.415757524673107,2024,0.25,0.75
28,0.6785714285714286,45.39454063031341,1.6212335939397646,6.674768436964246,2.268499155192707,2.8102055280727773,-0.8888182670077077,3.16173241750938,2025H1,0.25,0.75
7,0.42857142857142855,3.723681314957911,0.5319544735654158,2.166379865821998,2.1925116542831202,2.305397656413677,-0.7981279135707801,2.888506487762664,2026JF,0.25,0.75
100,0.52,97.94484323447016,0.9794484323447016,3.681978898245652,4.389548621209521,2.585855012170269,-0.7608253624663295,3.3987497522267556,COMBINED,0.25,0.75
65,0.4307692307692308,48.30215729963146,0.7431101123020225,2.795115011237324,4.514798382814462,2.686061181480027,-0.7272312373461967,3.6935448362778924,2024,0.0,1.0
28,0.6428571428571429,53.92892273246249,1.9260329547308033,7.439528299014168,2.449653136238709,3.4613106924559123,-0.8374669731743939,4.133071277230093,2025H1,0.0,1.0
7,0.42857142857142855,2.8615939002464765,0.40879912860663953,1.8831239167287976,2.2403084618591027,2.033967454035193,-0.8100771154647757,2.51083188897173,2026JF,0.0,1.0
100,0.49,105.09267393234042,1.050926739323404,3.7280831006448767,4.514798382814462,2.9309226103623005,-0.7553438034394571,3.880249757814055,COMBINED,0.0,1.0
