code,window_n,N,pooled_accuracy,N_2024,accuracy_2024,N_2025,accuracy_2025,N_2026,accuracy_2026
BB-A,3,87,0.6091954022988506,30,0.6,33,0.6363636363636364,24,0.5833333333333334
BB-A,5,78,0.6025641025641025,27,0.5925925925925926,25,0.64,26,0.5769230769230769
BB-A,8,72,0.5833333333333334,28,0.5357142857142857,23,0.6086956521739131,21,0.6190476190476191
BB-B,3,139,0.60431654676259,56,0.6428571428571429,45,0.6,38,0.5526315789473685
BB-B,5,150,0.5933333333333334,58,0.5862068965517241,48,0.6041666666666666,44,0.5909090909090909
BB-B,8,104,0.6153846153846154,39,0.5897435897435898,33,0.6363636363636364,32,0.625
