state,N,bb_acc,n2_acc,bb_n2_agree,N_disagree,bb_acc_disagree,n2_acc_disagree,N2024,bb2024,n22024,N2025,bb2025,n22025,N2026,bb2026,n22026
BB-A M->NEAR_L inside => DOWN,78,0.6025641025641025,0.6282051282051282,0.5641025641025641,34,0.47058823529411764,0.5294117647058824,27,0.5925925925925926,0.48148148148148145,25,0.64,0.8,26,0.5769230769230769,0.6153846153846154
BB-B M->OUT_U + abs-away => UP,150,0.5933333333333334,0.6,0.3933333333333333,91,0.4945054945054945,0.5054945054945055,58,0.5862068965517241,0.6379310344827587,48,0.6041666666666666,0.5416666666666666,44,0.5909090909090909,0.6136363636363636
BB-C IN + gap down + >=2 crosses => DOWN,71,0.6338028169014085,0.49295774647887325,0.6901408450704225,22,0.7272727272727273,0.2727272727272727,28,0.6428571428571429,0.4642857142857143,26,0.6153846153846154,0.5,17,0.6470588235294118,0.5294117647058824
BB-D M + contract + 1 cross => UP,160,0.6125,0.53125,0.46875,85,0.5764705882352941,0.4235294117647059,55,0.6,0.4,65,0.6153846153846154,0.6461538461538462,40,0.625,0.525
