archetype,n,N,pooled,N2024,acc2024,N2025,acc2025,N2026,acc2026
A contraction + one center cross -> UP,3,253,0.5217391304347826,87,0.5747126436781609,105,0.5047619047619047,61,0.47540983606557374
A contraction + one center cross -> UP,5,235,0.5787234042553191,69,0.5797101449275363,107,0.5700934579439252,59,0.5932203389830508
A contraction + one center cross -> UP,8,157,0.5159235668789809,45,0.6222222222222222,78,0.46153846153846156,34,0.5
B prior middle + gap up + contraction -> UP,3,168,0.5654761904761905,63,0.6507936507936508,58,0.5344827586206896,47,0.48936170212765956
B prior middle + gap up + contraction -> UP,5,184,0.6032608695652174,71,0.5915492957746479,60,0.6166666666666667,53,0.6037735849056604
B prior middle + gap up + contraction -> UP,8,157,0.5414012738853503,55,0.5818181818181818,54,0.5185185185185185,48,0.5208333333333334
C inside + gap down + 2+ center crosses -> DOWN,3,30,0.5666666666666667,9,0.5555555555555556,12,0.6666666666666666,9,0.4444444444444444
C inside + gap down + 2+ center crosses -> DOWN,5,71,0.6338028169014085,28,0.6428571428571429,26,0.6153846153846154,17,0.6470588235294118
C inside + gap down + 2+ center crosses -> DOWN,8,122,0.5081967213114754,51,0.5098039215686274,39,0.4358974358974359,32,0.59375
D prior middle + trigger middle + toward MA -> UP,3,86,0.6162790697674418,35,0.45714285714285713,31,0.7419354838709677,20,0.7
D prior middle + trigger middle + toward MA -> UP,5,81,0.654320987654321,31,0.6451612903225806,30,0.6,20,0.75
D prior middle + trigger middle + toward MA -> UP,8,66,0.5151515151515151,25,0.52,25,0.48,16,0.5625
E upper outside + contraction -> UP,3,110,0.5454545454545454,44,0.5909090909090909,34,0.6176470588235294,32,0.40625
E upper outside + contraction -> UP,5,138,0.5942028985507246,55,0.6181818181818182,47,0.5957446808510638,36,0.5555555555555556
E upper outside + contraction -> UP,8,135,0.5703703703703704,48,0.6458333333333334,47,0.5531914893617021,40,0.5
F prior middle + inside + down+away -> DOWN,3,100,0.58,35,0.6,37,0.6486486486486487,28,0.4642857142857143
F prior middle + inside + down+away -> DOWN,5,85,0.6352941176470588,29,0.5862068965517241,30,0.7,26,0.6153846153846154
F prior middle + inside + down+away -> DOWN,8,85,0.5764705882352941,33,0.5454545454545454,27,0.5925925925925926,25,0.6
