strategy,year,N,WR,avg_win_R,avg_loss_R,EV_R,PF,median_hold_min
fixed_$10_fresh75_SL10_TP10,2025,342,0.5964912280701754,1.0,-1.0,0.1929824561403508,1.4782608695652173,14.0
fixed_$10_fresh75_SL10_TP10,2026,603,0.5887230514096186,1.0,-1.0,0.1774461028192371,1.4314516129032258,6.0
fixed_$10_fresh75_SL10_TP13,2025,342,0.5263157894736842,1.2935166666666675,-1.0,0.2071140350877195,1.4372407407407413,19.5
fixed_$10_fresh75_SL10_TP13,2026,603,0.5207296849087893,1.3000000000000005,-1.0,0.1976782752902157,1.4124567474048446,8.0
normalized_k1.5_N2R1_SL1ATR_TP1.0ATR_H60,2024,809,0.546353522867738,1.0000000000000044,-0.9999999999999906,0.0927070457354826,1.2043596730245365,2.0
normalized_k1.5_N2R1_SL1ATR_TP1.0ATR_H60,2025,834,0.5479616306954437,0.9999999999999948,-1.000000000000001,0.09592326139088385,1.2122015915119253,2.0
normalized_k1.5_N2R1_SL1ATR_TP1.0ATR_H60,2026,551,0.5571687840290381,1.0000000000000004,-1.0000000000000036,0.11433756805807484,1.2581967213114662,2.0
normalized_k1.5_N2R1_SL1ATR_TP1.25ATR_H60,2024,809,0.49938195302843014,1.250000000000001,-0.9984849747111675,0.1243678433151761,1.2488055522393886,2.0
normalized_k1.5_N2R1_SL1ATR_TP1.25ATR_H60,2025,834,0.4904076738609113,1.250000000000005,-1.0000000000000004,0.10341726618705259,1.2029411764705897,3.0
normalized_k1.5_N2R1_SL1ATR_TP1.25ATR_H60,2026,551,0.5117967332123412,1.2499999999999978,-0.9969629667466295,0.15302533928340473,1.3144008008735881,2.0
normalized_k1.5_N2R1_SL1ATR_TP1.5ATR_H60,2024,809,0.453646477132262,1.4986172348712092,-0.9986117980950746,0.13424735530248566,1.2460567584510946,3.0
normalized_k1.5_N2R1_SL1ATR_TP1.5ATR_H60,2025,834,0.4616306954436451,1.4898264523168274,-0.9989371879901402,0.14995250207962316,1.2788272691092708,4.0
normalized_k1.5_N2R1_SL1ATR_TP1.5ATR_H60,2026,551,0.47549909255898365,1.4999999999999982,-0.9949273658875987,0.19140833259252912,1.366794841834841,3.0
