horizon,tp,year,N,WR,avg_win,avg_loss,EV,PF,total_R,max_seq_DD_R,max_loss_streak,median_hold_min,p95_hold_min,time_stop_rate,ambiguous
60,1.0,2024,809,0.546353522867738,1.0000000000000044,-0.9999999999999906,0.0927070457354826,1.2043596730245365,75.00000000000541,13.999999999999455,9,2.0,12.599999999999909,0.0,9
60,1.0,2025,834,0.5479616306954437,0.9999999999999948,-1.000000000000001,0.09592326139088385,1.2122015915119253,79.99999999999713,16.000000000000128,9,2.0,14.349999999999909,0.0,5
60,1.0,2026,551,0.5571687840290381,1.0000000000000004,-1.0000000000000036,0.11433756805807484,1.2581967213114662,62.99999999999923,17.00000000000013,9,2.0,12.0,0.0,4
60,1.0,pooled,2194,0.5496809480401094,0.9999999999999997,-0.9999999999999978,0.09936189608021959,1.2206477732793533,218.00000000000176,17.000000000000142,9,2.0,13.0,0.0,18
60,1.25,2024,809,0.49938195302843014,1.250000000000001,-0.9984849747111675,0.1243678433151761,1.2488055522393886,100.61358524197746,11.750000000000155,10,2.0,17.0,0.0012360939431396785,8
60,1.25,2025,834,0.4904076738609113,1.250000000000005,-1.0000000000000004,0.10341726618705259,1.2029411764705897,86.25000000000186,17.7499999999997,11,3.0,17.34999999999991,0.0,3
60,1.25,2026,551,0.5117967332123412,1.2499999999999978,-0.9969629667466295,0.15302533928340473,1.3144008008735881,84.31696194515601,16.999999999999986,9,2.0,16.0,0.0018148820326678765,3
60,1.25,pooled,2194,0.4990884229717411,1.2500000000000016,-0.9986983192109795,0.12360097866323395,1.2470737013426794,271.1805471871353,17.74999999999963,11,2.0,17.0,0.0009115770282588879,14
60,1.5,2024,809,0.453646477132262,1.4986172348712092,-0.9986117980950746,0.13424735530248566,1.2460567584510946,108.6061104397109,13.500000000000071,12,3.0,20.59999999999991,0.002472187886279357,6
60,1.5,2025,834,0.4616306954436451,1.4898264523168274,-0.9989371879901402,0.14995250207962316,1.2788272691092708,125.06038673440571,19.977450632646807,11,4.0,23.34999999999991,0.008393285371702638,4
60,1.5,2026,551,0.47549909255898365,1.4999999999999982,-0.9949273658875987,0.19140833259252912,1.366794841834841,105.46599125848354,18.00000000000009,9,3.0,19.0,0.003629764065335753,2
60,1.5,pooled,2194,0.4621695533272562,1.4956367942206232,-0.9978332380568745,0.1545726929957157,1.2880244944391699,339.1324884326002,19.977450632646764,12,3.0,21.0,0.005013673655423883,12
