k,year,N,monthly_mean,monthly_cv,monthly_min,monthly_max,median_spacing_min,p_spacing_le15,p_spacing_le30,p_spacing_le60,daily_active_days,daily_median,daily_p90,ny_core_share,atr_median,barrier_median,p15_median,p15_q90,p30_median,p60_median,r15_median,r30_median,r60_median,N_auth,N_valid60,median_p15,median_atr_auth,hit15,hit30,hit60
1.25,2024,1958,163.16666666666666,0.10228053044616826,129,187,70.0,0.16598569969356486,0.31869254341164455,0.4759959141981614,259,7.0,10.200000000000017,0.30745658835546474,1.2985902638167404,1.6232378297709253,0.7910446940492322,0.8889912269520106,0.9509338814937183,0.9931759001884524,95.48611111111111,94.79166666666666,94.09722222222221,1958,1949,0.7910446940492322,1.2985902638167404,0.8137506413545408,0.9517701385325807,0.9948691636736788
1.25,2025,2230,185.83333333333334,0.19726123267412748,139,261,70.0,0.15739910313901345,0.3147982062780269,0.47533632286995514,259,8.0,12.200000000000017,0.30807174887892375,2.7195353717812267,3.3994192147265334,0.7943570165138829,0.8814834359802726,0.9366192110701589,0.9905685600345743,95.83333333333334,95.48611111111111,94.79166666666666,2230,2208,0.7943570165138829,2.7195353717812267,0.7903079710144928,0.9442934782608696,0.9927536231884058
1.25,2026,1690,211.25,0.13641844687327395,175,260,60.0,0.178698224852071,0.35088757396449705,0.521301775147929,171,10.0,13.0,0.2781065088757396,5.006590916265841,6.258238645332302,0.7979157916854905,0.8937919053315599,0.937823159079574,0.992482130560833,95.48611111111111,95.48611111111111,94.09722222222221,1690,1672,0.7979157916854905,5.006590916265841,0.770933014354067,0.937799043062201,0.9886363636363636
1.5,2024,809,67.41666666666667,0.23191297834931968,40,92,362.5,0.11495673671199011,0.21755253399258342,0.30407911001236093,253,3.0,5.0,0.33127317676143386,1.3010040494931567,1.951506074239735,0.8048725386673615,0.9117652852392328,0.950845778095483,0.9927692470554144,98.95833333333334,98.61111111111111,98.26388888888889,809,806,0.8048725386673615,1.3010040494931567,0.8163771712158809,0.9392059553349876,0.988833746898263
1.5,2025,834,69.5,0.3569811298269477,40,123,327.5,0.1223021582733813,0.19424460431654678,0.2589928057553957,244,3.0,6.0,0.32014388489208634,2.8768823759413245,4.315323563911987,0.7965918281209032,0.9049088238925159,0.9352459362086503,0.988781144200839,99.30555555555556,98.95833333333334,98.61111111111111,834,826,0.7965918281209032,2.8768823759413245,0.7784503631961259,0.9176755447941888,0.9818401937046004
1.5,2026,551,68.875,0.11626582488600337,62,84,380.0,0.09800362976406533,0.15970961887477314,0.23411978221415608,169,3.0,5.0,0.2540834845735027,4.801635861672586,7.202453792508878,0.8033305355423621,0.9142342338113316,0.9360892914293704,0.991120535430076,99.30555555555556,99.30555555555556,98.61111111111111,551,546,0.8033305355423621,4.801635861672586,0.8003663003663004,0.9377289377289376,0.978021978021978
2.0,2024,180,15.0,0.41584767996141675,6,27,1615.0,0.06666666666666667,0.08333333333333333,0.08333333333333333,134,1.0,2.0,0.35,1.3637252438879541,2.7274504877759083,0.8330140245802935,0.9820483232562566,0.9533031710900414,0.9932734966843015,100.0,100.0,100.0,180,178,0.8330140245802935,1.363725243887954,0.8089887640449438,0.9101123595505618,0.9775280898876404
2.0,2025,151,12.583333333333334,0.36725259322203746,6,21,2310.0,0.033112582781456956,0.046357615894039736,0.052980132450331126,120,1.0,2.0,0.23178807947019867,2.7984518471587605,5.596903694317521,0.817483556962257,0.948467504567597,0.9317070829526845,0.9848118582107136,100.0,100.0,100.0,151,146,0.817483556962257,2.7984518471587605,0.7328767123287672,0.8835616438356164,0.9726027397260274
2.0,2026,131,16.375,0.3112835527273163,9,23,1570.0,0.06870229007633588,0.07633587786259542,0.08396946564885496,96,1.0,2.0,0.21374045801526717,4.809386746383518,9.618773492767035,0.8278075650377835,0.9804368573994944,0.9325915239291722,0.9885203187547622,100.0,100.0,100.0,131,129,0.8278075650377835,4.809386746383518,0.751937984496124,0.875968992248062,0.9844961240310076
