decision,year,m5_index,atr14_pre,barrier_price,p15,p30,p60,r15,r30,r60,spacing_min,ny_hour,kst_hour,ny_core
2024-01-02 16:45:00,2024,141828,2.0439070231741217,3.0658605347611827,0.7982568878561696,0.9330579136500404,0.9846343541826296,,,,,9.75,23.75,True
2024-01-03 11:45:00,2024,142044,1.078367822361702,1.617551733542553,0.7552004317486214,0.8820167483279996,0.9697381418705886,99.65277777777779,97.22222222222221,91.66666666666666,1140.0,4.75,18.75,False
2024-01-03 17:05:00,2024,142108,2.225168735953473,3.337753103930209,0.8831413332172148,0.9680564778991138,0.9883108027596044,100.0,100.0,99.30555555555556,320.0,10.083333333333334,0.08333333333333333,True
2024-01-04 08:30:00,2024,142281,0.7950992147764083,1.1926488221646123,0.7617923509262102,0.9334088481222363,0.9949231609584532,99.65277777777779,99.65277777777779,100.0,925.0,1.5,15.5,False
2024-01-04 15:25:00,2024,142364,1.1908656480245103,1.7862984720367656,0.7505034682570917,0.9350121852295928,0.9927797201279656,99.30555555555556,99.65277777777779,99.30555555555556,415.0,8.416666666666666,22.416666666666668,True
2024-01-04 15:35:00,2024,142366,1.3799300740619411,2.069895111092912,0.7891284482863754,0.9456080169177364,0.9943712762725148,99.65277777777779,99.65277777777779,99.65277777777779,10.0,8.583333333333334,22.583333333333332,True
2024-01-05 03:15:00,2024,142494,0.676207105656961,1.014310658485441,0.8370123983017175,0.95463529563224,0.993510626931248,100.0,100.0,98.95833333333334,700.0,20.25,10.25,False
2024-01-05 15:35:00,2024,142642,1.0990157816763195,1.6485236725144796,0.9967921530031932,0.9998175791833278,0.9999950818787852,100.0,100.0,100.0,740.0,8.583333333333334,22.583333333333332,True
2024-01-08 07:35:00,2024,142822,0.9442271066558484,1.416340659983773,0.8770201817522681,0.9540489872919548,0.992780474327058,98.95833333333334,98.26388888888889,98.26388888888889,3840.0,0.5833333333333334,14.583333333333334,False
2024-01-08 13:20:00,2024,142891,1.1475022673888229,1.7212534010832343,0.9459160195849736,0.9844759837672218,0.9979386411220272,99.65277777777779,98.95833333333334,98.95833333333334,345.0,6.333333333333333,20.333333333333332,False
2024-01-09 15:40:00,2024,143195,1.2748961392422264,1.91234420886334,0.8827267708202934,0.9709880117386795,0.9962639995014606,100.0,100.0,100.0,1580.0,8.666666666666666,22.666666666666668,True
2024-01-10 12:05:00,2024,143428,1.0746447696598127,1.6119671544897192,0.7896921750116976,0.9004924506311305,0.960378278879324,99.65277777777779,98.95833333333334,91.31944444444444,1225.0,5.083333333333333,19.083333333333332,False
2024-01-11 15:25:00,2024,143744,1.005849638288596,1.508774457432894,0.9327682367511216,0.9849766027829666,0.9983995943092472,100.0,100.0,100.0,1640.0,8.416666666666666,22.416666666666668,True
2024-01-11 15:35:00,2024,143746,1.447441779952919,2.1711626699293785,0.993957798011094,0.9996343203441774,0.999990447529032,100.0,100.0,100.0,10.0,8.583333333333334,22.583333333333332,True
2024-01-12 08:00:00,2024,143931,0.7095861223076804,1.0643791834615206,0.7547013056713343,0.9292734276884717,0.993664223970902,98.61111111111111,98.61111111111111,98.61111111111111,985.0,1.0,15.0,False
2024-01-12 14:05:00,2024,144004,1.112490426427813,1.6687356396417194,0.8114477639661313,0.9486397911924784,0.9929952827282692,98.95833333333334,98.61111111111111,98.26388888888889,365.0,7.083333333333333,21.083333333333332,False
