k,year,month,N,median_spacing_min,p_spacing_le60,ny_core_share,median_atr,median_p15
1.25,2024,2024-01,180,70.0,0.45,0.31666666666666665,0.9668394021316089,0.7866885168712117
1.25,2024,2024-02,155,75.0,0.45806451612903226,0.3419354838709677,0.6769807425149867,0.787026277176317
1.25,2024,2024-03,168,90.0,0.4107142857142857,0.3333333333333333,1.0650046538558322,0.7988688745367656
1.25,2024,2024-04,175,70.0,0.4685714285714286,0.33714285714285713,1.7312425340113031,0.7977608985066973
1.25,2024,2024-05,187,55.0,0.5454545454545454,0.35294117647058826,1.4167394657907806,0.7902013175043063
1.25,2024,2024-06,159,70.0,0.48427672955974843,0.3081761006289308,1.1712752818646577,0.7921460556139083
1.25,2024,2024-07,167,75.0,0.47305389221556887,0.3413173652694611,1.3080229020206178,0.7893533087190486
1.25,2024,2024-08,175,50.0,0.5657142857142857,0.2742857142857143,1.3948432278427916,0.7936683769919023
1.25,2024,2024-09,151,60.0,0.5099337748344371,0.25165562913907286,1.2713888067782606,0.7925984625070219
1.25,2024,2024-10,170,85.0,0.4647058823529412,0.2647058823529412,1.254571916686757,0.7907382186927501
1.25,2024,2024-11,142,105.0,0.4014084507042254,0.23943661971830985,1.5653674129306956,0.7883889530813823
1.25,2024,2024-12,129,120.0,0.4573643410852713,0.31007751937984496,1.494391149289747,0.790733827673658
1.25,2025,2025-01,142,102.5,0.4084507042253521,0.31690140845070425,1.4319729818385172,0.7914127131130348
1.25,2025,2025-02,139,125.0,0.39568345323741005,0.33093525179856115,1.8785347578805625,0.8026293573381694
1.25,2025,2025-03,147,130.0,0.42857142857142855,0.29931972789115646,1.6948643754230963,0.793070038750957
1.25,2025,2025-04,205,60.0,0.5170731707317073,0.3024390243902439,3.755514347980639,0.8006727254387962
1.25,2025,2025-05,191,70.0,0.49214659685863876,0.2879581151832461,3.2475957455089213,0.7978560339104481
1.25,2025,2025-06,161,90.0,0.4472049689440994,0.2919254658385093,2.559752945259485,0.7875639841456561
1.25,2025,2025-07,185,70.0,0.4648648648648649,0.31351351351351353,1.9001992680817772,0.783465934297594
1.25,2025,2025-08,164,75.0,0.45121951219512196,0.32926829268292684,1.8354800001845022,0.7895227649444305
1.25,2025,2025-09,209,60.0,0.5311004784688995,0.291866028708134,2.379904713955134,0.8011314802428388
1.25,2025,2025-10,261,65.0,0.4904214559386973,0.2681992337164751,4.730953754232208,0.7978419089385331
1.25,2025,2025-11,215,60.0,0.5023255813953489,0.29767441860465116,4.346963048394257,0.7900312246860064
1.25,2025,2025-12,211,65.0,0.4976303317535545,0.38388625592417064,3.3839475368720087,0.7969978850660566
