year,N,median_spread_price,median_spread_R,p75_spread_R,p95_spread_R
2024,809,0.18,0.13673810726356322,0.19805904375064906,0.34130141846450995
2025,834,0.17,0.061203714146668906,0.08804820143156289,0.15567364544629353
2026,551,0.24,0.04872416440802626,0.06958853077198748,0.132931341653805
