feature,orient,stored_threshold,human_condition,human_threshold
H4_signedvol3,1,0.11990911081450875,>=,0.11990911081450875
H4_roc1,1,-0.07553258845008293,>=,-0.07553258845008293
M1_240_moveimb,-1,-0.0420168067226889,<=,0.0420168067226889
M1_5_range_atr,1,2.66119023713616,>=,2.66119023713616
p60,1,0.9876843459236422,>=,0.9876843459236422
H4_bb_width_atr,-1,-3.5141381067251105,<=,3.5141381067251105
M15_body_atr,-1,-0.2721288882094947,<=,0.2721288882094947
