year,N_resolved60,accuracy,pred_long_share,true_up_share,selection_status
2024,797,0.5734002509410289,0.4178168130489335,0.5181932245922208,posthoc_maximin_development
2025,814,0.5761670761670762,0.32063882063882065,0.49385749385749383,posthoc_maximin_development
2026,538,0.5743494423791822,0.3903345724907063,0.5185873605947955,posthoc_maximin_development
