tp,year,N,WR,EV,avg_win,PF
1.0,2024,807,0.5464684014869888,0.09293680297398485,1.0000000000000044,1.2049180327868996
1.0,2025,834,0.5479616306954437,0.09592326139088385,0.9999999999999948,1.2122015915119253
1.0,2026,550,0.5563636363636364,0.11272727272727133,1.0000000000000004,1.2540983606557286
1.25,2024,806,0.4987593052109181,0.12296970873694552,1.2500000000000018,1.2457038254533972
1.25,2025,832,0.49158653846153844,0.10606971153846359,1.250000000000005,1.208628841607566
1.25,2026,548,0.5145985401459854,0.15933752179772967,1.2499999999999978,1.3292705392684134
1.5,2024,805,0.4546583850931677,0.13677777694374044,1.4986134568244094,1.251162232069817
1.5,2025,831,0.4620938628158845,0.15109553156968178,1.4897999587030695,1.281195915333739
1.5,2026,545,0.47889908256880737,0.1999375986394192,1.4999999999999987,1.3856738937158273
