phase,year,dir,N,base,auc
0,2025,-1,56,0.32142857142857145,0.6842105263157895
0,2025,1,54,0.24074074074074073,0.6097560975609756
0,2026,-1,23,0.2608695652173913,0.7254901960784313
0,2026,1,44,0.25,0.71900826446281
2,2025,-1,53,0.3018867924528302,0.6993243243243243
2,2025,1,57,0.2982456140350877,0.6147058823529411
2,2026,-1,22,0.2727272727272727,0.625
2,2026,1,41,0.2682926829268293,0.7454545454545454
