phase,year,targetS,winners,target_before_wick,target_before_close,wick_before_target,close_before_target
0,2024,0.25,218,0.3944954128440367,0.48623853211009177,0.6055045871559633,0.5137614678899083
0,2024,0.5,157,0.3184713375796178,0.4012738853503185,0.6815286624203821,0.5987261146496815
0,2024,0.75,108,0.2962962962962963,0.39814814814814814,0.7037037037037037,0.6018518518518519
0,2025,0.25,185,0.4756756756756757,0.6108108108108108,0.5243243243243243,0.3891891891891892
0,2025,0.5,122,0.4180327868852459,0.5327868852459017,0.5819672131147541,0.4672131147540984
0,2025,0.75,90,0.3888888888888889,0.5111111111111111,0.6111111111111112,0.4888888888888889
0,2026,0.25,126,0.42857142857142855,0.5,0.5714285714285714,0.5
0,2026,0.5,91,0.3516483516483517,0.43956043956043955,0.6483516483516484,0.5604395604395604
0,2026,0.75,65,0.3076923076923077,0.4153846153846154,0.6923076923076923,0.5846153846153846
2,2024,0.25,253,0.39920948616600793,0.5138339920948617,0.6007905138339921,0.48616600790513836
2,2024,0.5,189,0.30687830687830686,0.4126984126984127,0.6931216931216931,0.5873015873015873
2,2024,0.75,130,0.2846153846153846,0.4153846153846154,0.7153846153846154,0.5846153846153846
2,2025,0.25,194,0.44329896907216493,0.5670103092783505,0.5567010309278351,0.4329896907216495
2,2025,0.5,136,0.3897058823529412,0.5147058823529411,0.6102941176470589,0.4852941176470588
2,2025,0.75,99,0.35353535353535354,0.494949494949495,0.6464646464646465,0.5050505050505051
2,2026,0.25,115,0.43478260869565216,0.5130434782608696,0.5652173913043478,0.48695652173913045
2,2026,0.5,83,0.3614457831325301,0.4578313253012048,0.6385542168674698,0.5421686746987951
2,2026,0.75,56,0.3392857142857143,0.4642857142857143,0.6607142857142857,0.5357142857142857
