phase,year,targetS,N,hit240,median_min_if_hit,before_wick,before_close
0,2024,0.1,285,0.887719298245614,3.0,0.47368421052631576,0.5789473684210527
0,2024,0.25,285,0.7649122807017544,15.0,0.3017543859649123,0.3719298245614035
0,2024,0.5,285,0.5508771929824562,39.0,0.17543859649122806,0.22105263157894736
0,2024,0.75,285,0.37894736842105264,51.0,0.11228070175438597,0.15087719298245614
0,2025,0.1,244,0.9139344262295082,3.0,0.5532786885245902,0.6434426229508197
0,2025,0.25,244,0.7581967213114754,13.0,0.36065573770491804,0.46311475409836067
0,2025,0.5,244,0.5,30.0,0.20901639344262296,0.26639344262295084
0,2025,0.75,244,0.36885245901639346,52.0,0.14344262295081966,0.1885245901639344
0,2026,0.1,164,0.8963414634146342,4.0,0.4878048780487805,0.5548780487804879
0,2026,0.25,164,0.7682926829268293,14.0,0.32926829268292684,0.38414634146341464
0,2026,0.5,164,0.5548780487804879,41.0,0.1951219512195122,0.24390243902439024
0,2026,0.75,164,0.39634146341463417,61.0,0.12195121951219512,0.16463414634146342
2,2024,0.1,324,0.904320987654321,3.0,0.5,0.6203703703703703
2,2024,0.25,324,0.7808641975308642,15.0,0.3117283950617284,0.4012345679012346
2,2024,0.5,324,0.5833333333333334,39.0,0.17901234567901234,0.24074074074074073
2,2024,0.75,324,0.4012345679012346,55.0,0.11419753086419752,0.16666666666666666
2,2025,0.1,248,0.907258064516129,4.0,0.5483870967741935,0.6411290322580645
2,2025,0.25,248,0.782258064516129,14.0,0.3467741935483871,0.4435483870967742
2,2025,0.5,248,0.5483870967741935,31.0,0.21370967741935484,0.28225806451612906
2,2025,0.75,248,0.39919354838709675,55.0,0.14112903225806453,0.1975806451612903
2,2026,0.1,153,0.9019607843137255,5.0,0.48366013071895425,0.5490196078431373
2,2026,0.25,153,0.7516339869281046,14.0,0.32679738562091504,0.38562091503267976
2,2026,0.5,153,0.5424836601307189,32.0,0.19607843137254902,0.24836601307189543
2,2026,0.75,153,0.3660130718954248,57.0,0.12418300653594772,0.16993464052287582
