phase,year,target,group,N,hits,rate,ci_lo,ci_hi
0,2025,0.5,topQ,23,13,0.5652173913043478,0.3681137508501646,0.743653646743258
0,2025,0.5,lower75,87,18,0.20689655172413793,0.13507359604160085,0.30350873561529723
0,2025,0.75,topQ,23,9,0.391304347826087,0.22157622792477943,0.5921447760861829
0,2025,0.75,lower75,87,6,0.06896551724137931,0.031988839442576765,0.14239694240580286
0,2026,0.5,topQ,14,6,0.42857142857142855,0.2138079890447411,0.6740935542034925
0,2026,0.5,lower75,53,11,0.20754716981132076,0.12004598026413955,0.33457744701647923
0,2026,0.75,topQ,14,5,0.35714285714285715,0.16344731753554134,0.612355768960926
0,2026,0.75,lower75,53,4,0.07547169811320754,0.029739555086946673,0.17858477483653226
2,2025,0.5,topQ,27,13,0.48148148148148145,0.30743226976218463,0.6601438424504772
2,2025,0.5,lower75,83,20,0.24096385542168675,0.16174743841159034,0.34309736055955287
2,2025,0.75,topQ,27,8,0.2962962962962963,0.1585304046977976,0.48480682964148153
2,2025,0.75,lower75,83,6,0.07228915662650602,0.03355029552299279,0.14886786091773185
2,2026,0.5,topQ,11,5,0.45454545454545453,0.2127127162245977,0.719908462590678
2,2026,0.5,lower75,52,12,0.23076923076923078,0.13724260925492748,0.3613378255809984
2,2026,0.75,topQ,11,4,0.36363636363636365,0.1516647109536757,0.6461988254921511
2,2026,0.75,lower75,52,5,0.09615384615384616,0.04177435105257246,0.20609630120131636
