N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,Max,Min,policy,year,changed
197,234.6599999999994,1.2261085737411106,0.583756345177665,1.1911675126903523,11.065043478260867,-12.656341463414636,168.22999999999865,84.09999999999991,-38.57999999999993,BASE,2022,0
295,867.7100000000014,1.9563123381275167,0.7016949152542373,2.9413898305084794,8.575169082125607,-10.310795454545444,161.8000000000004,139.51,-31.25999999999999,BASE,2023,0
241,1287.8899999999983,1.9320581572910087,0.6224066390041494,5.343941908713686,17.79773333333333,-15.184285714285727,152.7700000000009,158.13999999999987,-39.0,BASE,2024,0
241,2711.210000000002,2.369152766625764,0.6846473029045643,11.249834024896273,28.432848484848485,-26.055394736842082,319.3000000000002,241.4699999999998,-90.86999999999988,BASE,2025,0
165,3429.270000000001,2.1315370071569295,0.6666666666666666,20.78345454545455,58.726363636363615,-55.10236363636357,440.34999999999854,592.9399999999996,-166.57999999999993,BASE,2026,0
197,705.6400000000001,1.8298425317229778,0.6345177664974619,3.5819289340101528,12.447760000000004,-11.810138888888893,106.11999999999989,99.53999999999996,-38.57999999999993,ANCHOR_ONLY_HA1,2022,45
295,1189.820000000001,2.5578249996726803,0.7220338983050848,4.033288135593224,9.171784037558686,-9.314268292682913,134.78000000000043,135.6500000000001,-31.25999999999999,ANCHOR_ONLY_HA1,2023,43
241,1784.8799999999987,2.5830280884426724,0.6556016597510373,7.406141078838169,18.43284810126582,-13.58445783132531,130.7799999999993,164.92999999999984,-39.0,ANCHOR_ONLY_HA1,2024,48
241,3752.2799999999997,3.0769843905679193,0.7178423236514523,15.569626556016596,32.13225433526011,-26.567647058823507,233.1500000000001,256.5300000000002,-90.86999999999988,ANCHOR_ONLY_HA1,2025,44
165,4741.22,2.910865350900174,0.696969696969697,28.73466666666667,62.80356521739129,-49.62379999999997,328.5700000000006,592.9399999999996,-146.19999999999982,ANCHOR_ONLY_HA1,2026,31
197,914.8200000000006,2.323409426265082,0.6598984771573604,4.643756345177668,12.354461538461543,-10.317313432835821,73.47999999999979,99.53999999999996,-28.720000000000027,ALL_OPEN_HA1,2022,68
295,1322.7800000000009,3.009082624544355,0.735593220338983,4.484000000000003,9.129861751152072,-8.441025641025625,116.68000000000029,135.6500000000001,-26.480000000000015,ALL_OPEN_HA1,2023,58
241,2001.3899999999983,3.162869864049965,0.6680497925311203,8.304522821576755,18.178447204968943,-11.566750000000022,123.32999999999947,164.92999999999984,-35.49000000000024,ALL_OPEN_HA1,2024,70
241,4244.119999999999,4.078885132684301,0.7385892116182573,17.610456431535265,31.58752808988763,-21.880317460317446,173.30999999999995,256.5300000000002,-90.86999999999988,ALL_OPEN_HA1,2025,72
165,5380.109999999999,3.7625441587249426,0.703030303030303,32.60672727272726,63.16922413793102,-39.74530612244897,288.7500000000009,592.9399999999996,-146.19999999999982,ALL_OPEN_HA1,2026,52
197,539.56,1.5877431864229536,0.6142131979695431,2.7388832487309642,12.046115702479339,-12.079210526315789,128.8199999999997,89.80999999999995,-38.57999999999993,ANCHOR_ONLY_HA2,2022,34
295,1123.9100000000012,2.398559020432546,0.7152542372881356,3.809864406779665,9.13521327014218,-9.56690476190475,145.32000000000062,143.17000000000007,-31.25999999999999,ANCHOR_ONLY_HA2,2023,35
241,1682.5999999999988,2.3864192546327936,0.6390041493775933,6.981742738589206,18.80668831168831,-13.94977011494254,129.60999999999922,172.0999999999999,-39.0,ANCHOR_ONLY_HA2,2024,40
241,3383.2400000000025,2.825246280171347,0.7012448132780082,14.038340248962665,30.987100591715986,-25.744166666666647,261.77,245.19000000000005,-90.86999999999988,ANCHOR_ONLY_HA2,2025,35
165,4438.540000000001,2.685830943654217,0.6909090909090909,26.90024242424243,62.02973684210525,-51.62450980392151,355.5400000000009,592.9399999999996,-146.19999999999982,ANCHOR_ONLY_HA2,2026,24
197,671.2500000000005,1.8155541515806874,0.6446700507614214,3.4073604060913727,11.766220472440946,-11.757999999999996,113.2999999999995,89.80999999999995,-28.460000000000036,ALL_OPEN_HA2,2022,52
295,1205.920000000001,2.6421373713165237,0.7254237288135593,4.087864406779665,9.066728971962618,-9.066172839506164,141.30000000000064,143.17000000000007,-26.480000000000015,ALL_OPEN_HA2,2023,46
241,1832.389999999999,2.704977064006771,0.6473029045643154,7.603278008298751,18.635384615384616,-12.64388235294119,124.98999999999933,172.0999999999999,-39.0,ALL_OPEN_HA2,2024,57
241,3558.7700000000054,3.263517424295435,0.7178423236514523,14.766680497925334,29.65895953757227,-23.121029411764667,207.74999999999955,245.19000000000005,-90.86999999999988,ALL_OPEN_HA2,2025,55
165,4834.240000000002,3.0764208645453945,0.6909090909090909,29.298424242424254,62.82807017543858,-45.65019607843133,289.8500000000013,592.9399999999996,-146.19999999999982,ALL_OPEN_HA2,2026,37
