N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,Max,Min,policy,changed
1139,8530.740000000002,2.0231428509747205,0.655838454784899,7.489675153643549,22.58168674698795,-21.269846938775498,440.34999999999854,592.9399999999996,-166.57999999999993,BASE,0
1139,12173.84,2.731846245767776,0.6883230904302019,10.688182616330113,24.493928571428565,-19.80112676056337,328.5699999999979,592.9399999999996,-146.19999999999982,ANCHOR_ONLY_HA1,211
1139,13863.219999999998,3.475141850176219,0.704126426690079,12.17139596136962,24.26957605985037,-16.620118694362016,288.7500000000018,592.9399999999996,-146.19999999999982,ALL_OPEN_HA1,320
1139,11167.850000000004,2.504756322675399,0.675153643546971,9.804960491659354,24.173667100130032,-20.058648648648635,355.53999999999905,592.9399999999996,-146.19999999999982,ANCHOR_ONLY_HA2,168
1139,12102.570000000007,2.8526591494273306,0.6883230904302019,10.625610184372263,23.769272959183674,-18.40152112676055,289.85000000000036,592.9399999999996,-146.19999999999982,ALL_OPEN_HA2,247
