N,PnL,PF,WR,Avg,AvgWin,AvgLoss,DD,Max,Min,policy,direction,changed
503,1561.0899999999995,1.3452707708980725,0.6202783300198808,3.103558648111331,19.494999999999994,-23.671989528795805,491.2600000000011,450.59000000000015,-166.57999999999993,BASE,DOWN,0
636,6969.650000000002,2.8262224120447663,0.6839622641509434,10.95856918238994,24.795586206896548,-18.987213930348243,647.6099999999988,592.9399999999996,-101.54999999999929,BASE,UP,0
503,3211.3900000000003,1.8536571750595447,0.6600397614314115,6.384473161033798,21.003945783132522,-21.999532163742675,409.4500000000012,509.3800000000001,-146.19999999999982,ANCHOR_ONLY_HA1,DOWN,99
636,8962.45,3.7429242107067227,0.710691823899371,14.091902515723271,27.057367256637168,-17.758043478260866,499.7400000000016,592.9399999999996,-101.54999999999929,ANCHOR_ONLY_HA1,UP,112
503,3958.509999999999,2.282935398037926,0.6679920477137177,7.86980119284294,20.964345238095227,-18.47610778443113,267.76000000000204,509.3800000000001,-146.19999999999982,ALL_OPEN_HA1,DOWN,146
636,9904.71,4.937518634688545,0.7327044025157232,15.573443396226414,26.65274678111588,-14.796882352941184,331.7299999999959,592.9399999999996,-68.65000000000055,ALL_OPEN_HA1,UP,174
503,2893.83,1.7268847616511858,0.6421471172962226,5.75314115308151,21.284736842105257,-22.11744444444443,449.31000000000085,537.25,-146.19999999999982,ANCHOR_ONLY_HA2,DOWN,81
636,8274.020000000004,3.4048468853907528,0.7012578616352201,13.009465408805038,26.265874439461886,-18.10821052631578,576.2999999999993,592.9399999999996,-101.54999999999929,ANCHOR_ONLY_HA2,UP,87
503,3428.940000000001,1.9792970300705723,0.6500994035785288,6.816978131212726,21.19379204892966,-19.89448863636362,400.11000000000104,537.25,-146.19999999999982,ALL_OPEN_HA2,DOWN,116
636,8673.630000000006,3.861535872997025,0.7185534591194969,13.637783018867935,25.612122538293224,-16.9335754189944,496.3999999999987,592.9399999999996,-81.0,ALL_OPEN_HA2,UP,131
